Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Hero Choice 1,Hero Choice 2,Fun Level (no slash),Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,
,,,,                                                            Upper Bracket,,,,,,,,,,,,,,,,,,,
17,Emperor Vulcan Crushes HYDRA,1,MicroDisney0505,38,37,75,1st,Yes (4.5),3rd,24 (6),1st,0 (4.5),1st,3.125 (8),23,,1,5,Medusa,White Tiger,5,5/5,I chose heroes to take throne's favor and help dark memories.  My plan worked as well as expected.  I kept red guardian undercover until Kraven's rare was available.  Then the other undercover cards once I knew I could end the game.
,,2,ANewEmpire,26,39,65,1st,Yes (4.5),1st,23 (7.5),1st,0 (4.5),3rd,2.826 (6),22.5,,13,2,Enchantress,Karma,3,3/5,"Left hand was full covert using Enchantress and Red Guardian Rare along with Winter Soldier's ""New Plan"" to easily cycle through the deck and generate big attack numbers. Right hand also was full covert using Red Guardian's Magnetic Shield and Karma's Sow Rivalry to generate a TON of attack."
,,3,OllieKitKat & Kylah15,12,59,71,1st,Yes (4.5),4th,25 (5),1st,0 (4.5),2nd,2.84 (7),21,,47,9,Green Goblin,Black Widow (S.H.I.E.L.D.),3,3/5,"Green Goblin was ready to play and he came out hard and fast - Widow was there for support and her rare was always 7 attack by the time Kylah got it.  Ollie tried his best to play Dark Memories, but the HQ was just bombarded with instinct and tech that it just...didn't work."
,,4,R3DJ0N,43,11,54,1st,Yes (4.5),1st,23 (7.5),1st,0 (4.5),7th,2.348 (2),18.5,,32,2,Kingpin,Loki,3,3/5,"It was weird. Roulette showed up and made us draw cards. Then she collected a bunch of new recruits. I had to fight her when she had 11 attack instead of Vulcan. Loki and Kingpin actually worked as I'd hoped. Red Guardian also helped a lot. The other side was trying to make some dark memories happen but mainly just cleared cops and got hit by negative effects from tactics.

2nd game was terribly unlucky Ended up with an escape on turn 5 because of 5 hands of 4 and 2. Then 2 masterstrikes then gladiator gave wounds. Decided to stop there since the first attempt was escape free. "
,,5,Snash108 & SBPKECN,39,60,99,1st,Yes (4.5),7th,37 (2),1st,0 (4.5),4th,2.676 (5),16,,21,2,Black Widow (S.H.I.E.L.D.),Crystal,4,4/5,"I built a Red Guardian deck, while my wife built a decent Dark Memories deck with Widow and Falcon/Winter Soldier. Brought Crystal to supplement both decks as well as keep the Thrones Favor away from Vulcan!"
,,6,myomes,51,36,87,1st,Yes (4.5),6th,35 (3),1st,0 (4.5),5th,2.486 (4),16,,15,4,Green Goblin,Karnak,4,4/5,"I decided to make this harder on myself by using the randomizer to decide my two heroes. I won't be doing that again; but than again maybe I will. Lol
Ended going with when recruited cards on one side and dodge cards on the other. I think I'll be heading to the loser bracket next week. But I still had fun. "
,,7,Coyote81 & ElZappo,45,29,74,1st,Yes (4.5),5th,31 (4),1st,0 (4.5),6th,2.387 (3),16,,16,2,Medusa,Electro,5,5/5,"Had 2 entirely different games, the first game Electro did some work, but was totally absent the 2nd attempt, where Red Guardian was crazy.  Medusa was super useful for the first time in any game I've ever played.  Fun moment of each game, Kraven sending monster on a train ride across the city. Choo! Choo!"
,,8,Adrian Miller,36,54,90,1st,Yes (4.5),8th,40 (1),1st,0 (4.5),8th,2.25 (1),11,,18,2,Black Widow (S.H.I.E.L.D.),Yelena Belova,4,4/5,Was fun playing with undercover and unleash
