Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,1
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,
1,"Emperors, Queens, and One Very Confused Spider",1,(+10),10,Justitiana,17,59,76,1st,Yes (4.5),1st,27 (8),1st,0 (5),1st,2.815 (8),25.5,,42,2,0,2,6,4,6,0,0,18,Black Bolt (Inhumans),Medusa,Black Bolt (Inhumans),Medusa,First attempt,4,"First I want to say thanks to Kylah, as although Hydra Base are not villains, they do KO and that is pretty neat. Setup felt fair, although I'm sure my hero choices were suboptimal, however they did counter the Mastermind's Throne's Favor the most. Medusa and Black bolt are pretty 'meh' heroes, and in both games it showed.

I was succesful in keeping the escape pile empty, but in both games only one deck took off. In attempt 1 it was deck 2 with a strong Beta Ray Bill deck. In the second game it was Deck 1 with a strong Black Bolt focused deck. Attempt 1 led to an earlier win and 10 fewer points over 4 fewer turns, so I guessed that was the better choice to submit. Both games I did notice some (probably on puropse) anti-synergy between High-Tech Spider-Man and Hydra Base for Danger Sense. Only Villains increase attack and although they are Henchmen, they are Locations and not Villains. Was still nice to see what cards would come up though.

The Shi'ar villains were a bit annoying, and also a bit helpful. I can see people without extra acces to Throne's Favor struggle to counter the bad stuff from Strikes, MM effect and villain Ambushes. Black Bolt and Medusa aren't the greatest Heroes though, so it's a kind of trade-off. I never managed to defeat Emperor Vulcan two times in one turn. But in attempt 1, by some luck (I did get Medusa's rare) I could help hit Emperor Vulcan two separate times with the far weaker built deck.

Scheme Twists in this setup were not too bad to handle, easily kept under 5 'missed' ones. Master Strikes were actually annoying, especially in game 2 where the strong deck got 2 wounds from them amongst otherwise perfectly strong mostly 3 attack cards. There was enough KO to get one deck rid of (almost) all starters, but not enough for both decks. That's why only one deck did well both attempts.

A fun first challenge and I did plan my time well enough to complete my games before the deadline. Kylah, please keep giving me KO Henchmen and I'll be grateful.",
,,2,(+9),9,jpilger,40,33,73,1st,Yes (4.5),2nd,29 (7),1st,0 (5),2nd,2.517 (7),23.5,,7,1,0,2,4,3,3,1,0,13,Black Bolt (Inhumans),Medusa,Black Bolt (Inhumans),Medusa,Second attempt,5,"What a blast!  Maybe it’s just week 1 talking, but I am so glad to be back in tournament season.  I knew going against Vulcan I had to control thrones favor and the only options for that were Medusa and Black Bolt, and they did not disappoint.  But the real hero was Crystal.  I was pulling off some stellar damage with her cost 3 card.  The chance to do 5 damage for just 3 points is awesome.  Also, great call with hydra base as the henchmen, it made some of the micro size changers tough, but also helped mitigate early escapes from the city filling before your damage popped up.  Very fun start.  Also, last time I’ll be in the pod at the top of the page.",
,,3,(+8),8,Jinjoz,22,43,65,1st,Yes (4.5),3rd,30 (6),1st,0 (5),7th,2.167 (2),17.5,,21,1,0,1,4,6,2,1,0,14,Ant-Man,Wasp,War Machine,Photon,Second attempt,3,"Felt like a pretty average setup in terms of the set up, but player two had a great run. Built a deck with Photon and a single Stormbreaker. I could play out my whole deck at the end and I could produce exactly 13 attack to take out Vulcan even if he had the Thrones Favor.",
,,4,(+7),7,Lamertien,55,34,89,1st,Yes (4.5),6th,38 (2.5),1st,0 (5),4th,2.342 (5),17,,21,2,0,1,6,1,0,0,0,8,Ant-Man,Jocasta,Ant-Man,Jocasta,Second attempt,2,"Vulcan is really not one of my favorite MM and High Tech Spiderman was a pain for this setup. My first game went a bit faster, but I had some Escapes, so I submitted my clean but slower victory from the second attempt.",
,,5,(+6),6,Kb_driven,45,49,94,1st,Yes (4.5),8th,39 (1),1st,0 (5),3rd,2.41 (6),16.5,,4,2,0,0,7,0,0,0,0,7,Thor (Heroes of Asgard),Ant-Man,Tony Stark,Ant-Man,Second attempt,4,"Deck one tried for Worthy cards and Crystal - never quite got to full efficiency but did enough to get by.  Deck two was Spiderman and Tech - again, not as efficient as I'd like but did the thing.",
,,6,(+5),5,Joebro6616,60,12,72,1st,Yes (4.5),5th,33 (4),1st,0 (5),6th,2.182 (3),16.5,,48,1,0,1,5,2,2,1,0,11,Black Bolt (Inhumans),The Warriors Three,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"The combo of black bolt and betta ray bill is fantastic for draw and attack, my other hand couldn’t get off of the ground, the only down fall of this setup was the hydra bases( never been a fan of them) overall a fun setup will probably play again.hand 1 was worthy",
,,7,(+4),4,Cobrawarrior521 & Mackirev94,32,52,84,1st,Yes (4.5),6th,38 (2.5),1st,0 (5),5th,2.211 (4),16,,20,2,0,0,5,2,1,0,0,8,Lady Sif,Medusa,Lady Sif,Medusa,First attempt,3,N/a,
,,8,(+3),3,jiggliestpuff,27,38,65,1st,Yes (4.5),4th,32 (5),8th,2 (1),8th,2.031 (1),11.5,,11,2,0,2,5,0,0,0,0,7,Lady Sif,Ronin,Black Bolt (Inhumans),Ronin,Second attempt,4,Definitely struggled to generate enough attack and pull off Crtsral's abilities. But Black Bolt helped stop Throne's Favor from being a problem and worked well with Beta Ray Bill. Danger Sense helped too! Not my strongest start but it was fun to try and figure this scenario out.,
