Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,1
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,
1,Fight or Feast?,1,(+10),10,waxbottle & Mrs. waxbottle,42,28,70,1st,Yes (5),1st,21 (9),1st,0 (8),2nd,3.333 (8),30,,14,3,8,3,5,8,3,1,0,20,Bishop,Quake,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,Fun! Seemed kind of easy though we had some good luck. Heroes synergized well and I always love Feast as a keyword.,
,,2,(+9),9,Ocs333,25,64,89,1st,Yes (5),2nd,24 (7.5),4th,1 (5.5),1st,3.708 (9),27,,39,2,19,1,2,6,4,1,0,14,Angel,Quake,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"Fun setup. Although I almost flipped the table when on turn 8 Carnage feasted on the 7-cost Sue Storm card which I just recruited in turn 7...
This probably prolonged the game by quite a few turns. Still ended up with a deck of 8 and a deck of 6 cards after all the feast, ko and undercover actions. Had no time to play another game (even despite flying this setup abroad for holiday traveling)",
,,3,(+8),8,sword'n'sorcery,33,41,74,1st,Yes (5),2nd,24 (7.5),1st,0 (8),4th,3.083 (6),26.5,,8,6,9,1,3,9,2,0,0,15,Bishop,Moon Knight,Bishop,Moon Knight,First attempt,5,"Both games were good, could have been a bit luckier both times. But that's kind of the nature with Feast--games are a bit more random. Still, lots of fun! I was excited when the 3 picked heroes this game were 3 of my favorites.",
,,4,(+7),7,AntDude & WaspWoman & PowerPupa,44,42,86,1st,Yes (5),5th,27 (5),4th,1 (5.5),3rd,3.185 (7),22.5,,2,6,12,2,3,5,2,1,0,13,Wolverine (X-Force),Angel,Professor X,Angel,First attempt,5,"For the record, the submitted game was an AntDude and PowerPupa game. AntDude's Mockingbird-focused deck got three Spymasters and Infinity Formula leading to a big finish. PowerPupa went strong with Angel and Jean Grey and was more consistent throughout the game. A fun setup after a busy family week!",
,,5,(+6),6,Bakatora971,65,21,86,1st,Yes (5),6th,29 (3.5),1st,0 (8),5th,2.966 (5),21.5,,44,3,9,1,2,4,3,1,0,11,Agent Phil Coulson,Nightcrawler,Agent Phil Coulson,Nightcrawler,First attempt,5,Shield level is op. Decks got so thin right hand only had a 5 card deck.,
,,6,(+5),5,aitmanga,40,40,80,1st,Yes (5),6th,29 (3.5),6th,2 (4),7th,2.759 (3),15.5,,0,4,18,3,1,4,2,1,0,11,Deathlok,Domino,Deathlok,Domino,First attempt,5,"We had two very different games going on, but both pretty close in terms of score. First game we got Hydra level to 10 and were one twist away from loosing but feasting was kept under control. On the second game our KO pile was huge, but Hydra level remained below 6. Domino's versatility was very useful on game one, but we barely saw her on game 2.",
,,7,(+4),4,wingedcrusader,35,36,71,1st,Yes (5),4th,26 (6),9th,7 (1),8th,2.731 (2),14,,1,10,10,1,2,8,2,1,0,14,Nightcrawler,Agent Phil Coulson,Agent Phil Coulson,Nightcrawler,Second attempt,3,"I think I could have chosen more interesting heroes, last time there was a ton of mockingbird so I'm kinda sick of her even though she's good. Nightcrawler popped off though and jean grey is different, not a conventional pick.",
,,8,(+3),3,Travjon,45,48,93,1st,Yes (5),9th,33 (1),7th,4 (2.5),6th,2.818 (4),12.5,,3,10,7,1,0,1,2,1,0,5,Agent Phil Coulson,Bishop,I did not make a second attempt.,I did not make a second attempt.,First attempt,2,It was slow-going at the beginning. It took a while to build up good decks. I struggled sending cards undercover at first with some bad luck in the HQ. A lot of KOing cards!,
