Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,Strikes,Twists,Villains,Henchmen,Bystanders,Other,Total,1,2,1,2,,,,,2
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,
13,Super Secret Pool Party,1,(+10),21,SnekeTV,44,47,91,1st,Yes (8),2nd,29 (9),1st,0 (6.5),1st,3.138 (10),33.5,,3,9,1,3,5,1,1,0,11,Rick Jones,War Machine,Rick Jones,War Machine,First attempt,4,"invis+henchman+war machine on henchman again = 8 card deck :) Take THAT Dark memory villains, I dont HAVE A DISCARD PILE MUHUHAHAHAAH!! (probabbly burnt a bystander hero too early, may bite later :P )",,
,,2,(+9),20,JustHarold,49,28,77,1st,Yes (8),1st,25 (10),1st,0 (6.5),3rd,3.08 (8),32.5,,21,5,2,3,5,5,1,0,16,"Joe Fixit, Grey Hulk",Silver Surfer,"Joe Fixit, Grey Hulk",Silver Surfer,Second attempt,3,"Really didn't like the captain marvel cards. I thought joe fixit would be better but game one actually didn't help also saw no rares. Game two was better, no marvel cards and opened board with invisible woman rare, really put in work had her almost every ambush villan",,
,,3,(+8),18,Dre 2 point 0,49,40,89,1st,Yes (8),3rd,31 (8),1st,0 (6.5),4th,2.871 (7),29.5,,9,15,2,2,3,1,0,0,8,Hiroim,Human Torch,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"What a great game! After a really close call for an escape as the city had filled up, my decks slowly ramped up and allowed me to rake in bystanders while punching the Illuminati in their faces!",,
,,4,(+7),17,Adamantiumgambit,39,43,82,1st,Yes (8),4th,33 (7),1st,0 (6.5),5th,2.485 (6),27.5,,4,5,0,2,4,1,0,0,7,She-Hulk,Gladiator Hulk,She-Hulk,Gladiator Hulk,Second attempt,5,"Gladiator Hulk mad Iluminati a bit less of a pain, but the master strike timing left me a few turns with nothing to do. PS - where are my sidekicks? 😭",,
,,5,(+6),17,JB007,58,27,85,1st,Yes (8),5th,35 (6),9th,1 (2),6th,2.429 (5),21,,31,7,0,2,1,1,1,0,5,Photon,Scarlet Witch,Photon,Scarlet Witch,Second attempt,3,I lost the first time around due to the requirement of final blow. It kind of comes down to luck in where those darn scheme twists are! Overall a good battle. Phew.,,
,,6,(+5),15,dontfeedthegreen,58,48,106,6th,No (3),9th,34 (1.5),1st,0 (6.5),2nd,3.118 (9),20,,10,26,2,0,5,0,0,0,7,Hiroim,"No-Name, Brood Queen",Hiroim,"No-Name, Brood Queen",Second attempt,4,"1st attempt was dismal. One of the most frustrating games I’ve ever played. Villain deck was front-loaded with Henchmen but I could not Outwit them to get the KOs for the life of me, despite each deck buying a mix of costs for that purpose. Whenever I was about to get a good combo together a Master Strike ruined my hand! I repeated the Heroes because I knew they could do better. 2nd attempt was much better, some very trim decks, with both hands using Unseen Rescue to get a mound of Bystanders, but alas too low on Attack to finish quickly, and the final Twist landed and finished me just as I had the Attack in hand for the final blow! Ah well, probably wasn’t fast enough for a good ranking anyway.",,
,,7,(+4),14,WingedCrusader,40,23,63,6th,No (3),6th,39 (4.5),1st,0 (6.5),7th,1.615 (4),18,,17,5,0,0,2,0,0,0,2,Photon,Caiera,Photon,Human Torch,Second attempt,3,"Got crushed, 2 more hits on the mastermind, my teammate's deck wasn't really functioning as planned :P",,
,,8,(+3),13,Organous,41,18,59,6th,No (3),6th,39 (4.5),1st,0 (6.5),9th,1.513 (2),16,,23,5,0,0,0,1,0,0,1,Photon,Human Torch,Thing,Gladiator Hulk,First attempt,2,"Game 2 felt like I was only ever able to recruit things, never defeat stuff. I got all the stars and almost nothing to use them on, not even Focus.",,
,,9,(+2),13,JParnell,31,26,57,6th,No (3),8th,37 (3),1st,0 (6.5),8th,1.541 (3),15.5,,5,5,1,0,1,2,0,0,4,Mr. Fantastic,"Joe Fixit, Grey Hulk",Mr. Fantastic,"Joe Fixit, Grey Hulk",Second attempt,2,"Hopeless might not be the right word, but discouraging certainly is. Not sure what the right combo of Heroes was. I'll be curious to see the rest of the pod's results.",,
,,10,(+1),11,Mikip2023,22,21,43,6th,No (3),9th,34 (1.5),10th,3 (1),10th,1.265 (1),6.5,,1,4,5,8,4,2,0,0,19,Darkhawk,"Skaar, Son of Hulk",Darkhawk,"Skaar, Son of Hulk",First attempt,1,This set up was very difficult for us. The amount of fight in the hero cards that were chosen for us was little to none. To much recruit and not enough fight. The scheme was tricky on leaving the large cost cards so they don't get Ko'd. Due to those ones having a higher fight value. Also never got a change to transform any other hero cards. For us it didn't work well.,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,What Genius Killed the Lights?,1,(+10),19,Yeeches,38,13,51,1st,Yes (5.5),1st,19 (10),1st,0 (5.5),2nd,2.684 (9),30,,25,6,4,3,10,7,0,0,24,Angel,Beta Ray Bill,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"I think I got pretty lucky, half of my villain deck pulls were twist, strike, bystander so the city pressure wasn't much. MM mostly whiffed and I managed to hit really big fast with Beta Ray Bill, OG Angel, and Sif's Golden Apple. Fun set up and I enjoyed the heroes I picked!",,
