Pod,Setup,Rank,Points Earned,Total Points,Name(s),VP 1,VP 2,"Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Diff.,Bst. Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Lv.,Comments,,Results Of Week:
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Bridge to Taskabithia,1,(+8),42,Avataristche,60,32,92,1st,Yes (4.5),1st,21 (7.5),1st,0 (5.5),1st,4.381 (8),25.5,,28,12,4,4,5,3,1,0,17,Bishop,Iceman,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,One of the best Iceman/Bishop games in a while. I also got Moondragon's Danger Sense to keep pushing away strikes and twists and surfacing juicy celestials. Final turn ended up with 64 attack ^^,,
,,2,(+7),35,GZUZROCKS & gzuzrules,48,24,72,1st,Yes (4.5),1st,21 (7.5),1st,0 (5.5),3rd,3.429 (6),23.5,,24,8,2,4,6,4,1,0,17,Yondu,Captain Mar-Vell,Yondu,Captain Mar-Vell,Second attempt,5,"I played first game and had an AMAZING SCORE! thought it was too good to be true so read more in depth about the celestial boon from “nezarr, the calculator”. It just seemed TOO OP to reduce mastermind strength to 1/5th power. Indeed. I read it wrong. Didn’t see the minus sign before the attack symbol (reduce attack by 1/5th rounded down). So I chucked that score out and played correctly the best round! lol. Still thought we did pretty well.",,
,,3,(+6),37,Jean-Sebastien & Genevieve,28,67,95,1st,Yes (4.5),4th,24 (5),1st,0 (5.5),2nd,3.958 (7),22,,39,10,3,2,3,5,1,0,14,Apocalyptic Kitty Pryde,Wolverine (X-Force),Apocalyptic Kitty Pryde,Wolverine (X-Force),First attempt,4,"Wolverine did not help as much as we thought, but Red Guardian did his thing, recruited all red cards, and gave us 2 big turns. We lost game 2.",,
,,4,(+5),38,the.melkman. & Snapcity57,48,22,70,1st,Yes (4.5),3rd,22 (6),1st,0 (5.5),5th,3.182 (4),20,,26,3,3,2,2,6,2,0,15,Elektra,Maximus,Elektra,Maximus,Second attempt,2,Another setup where the melk wasn’t flowing,,
,,5,(+4),36,Redblock,60,28,88,1st,Yes (4.5),6th,26 (3),1st,0 (5.5),4th,3.385 (5),18,,32,6,2,2,3,3,2,0,12,Apocalyptic Kitty Pryde,Maximus,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"This was deckbuilding at its finest, finding 3 heroes who just clicked together. Maximus made whole setup look easy with his common, Kitty was trashing wounds on one side, and managing HQ on the other, and Red Guardian just went ""Red deck wins"" (my favorite deck from ancient times I played MTG)",,
,,6,(+3),33,Chuck Bauer,69,10,79,1st,Yes (4.5),5th,25 (4),1st,0 (5.5),6th,3.16 (3),17,,59,6,2,3,4,2,1,0,12,Maximus,Captain Mar-Vell,Captain Mar-Vell,Maximus,Second attempt,4,"Red Guardian rocks!!! Brought Maximus to both support Red Guardian and defeat the ""trained"" henchmen. Brought Captain Mar-Vell to support Moondragon and for extra danger sense, as I wanted to delay the twists/strikes as much as possible. Covert side ended up hitting both copies of Nezar for ""free"" resulting in a Taskmaster with a base attack of 3.",,
,,7,(+2),34,Adamantiumgambit,45,43,88,1st,Yes (4.5),7th,29 (1.5),7th,1 (2),7th,3.034 (2),10,,2,10,2,2,3,3,0,0,10,Yondu,Captain Mar-Vell,Yondu,Captain Mar-Vell,Second attempt,4,"I accidentally cheated my first round, didn't notice the ""give wounds"" part of taskmaster until turn 19. I forfeited that one and submitted my second.

Yondu felt really good going against this setup. I also think I found a new favorite villain group in the Celestials!",,
,,8,(+1),32,Yeeches,60,17,77,1st,Yes (4.5),7th,29 (1.5),8th,3 (1),8th,2.655 (1),8,,43,12,3,1,2,3,0,0,9,Yondu,Captain Mar-Vell,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,Kinda slow with my Danger sense strategy but Red Guardian stole the show somehow with not much else for covert - got a double MM hit in. Yondu's burn effect was helpful.,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,                                        Eliminated                                                                                                                                                                                                                                                                                 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,Madame Web Casting News,1,(+10),38,snash108 & SBPKECN,36,36,72,1st,Yes (5.5),1st,21 (8),1st,0 (6),3rd,3.429 (6),25.5,,0,11,3,3,6,2,1,0,15,M,Karnak,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"Scored Medusa's rare at turn six, due to it being the only odd card in the HQ when Witchfire came off the villain deck.

Brought Karnak for no reason, other than to sit in the HQ and nerf Abomination bonuses. M was able to support both the Stepford Cuckoos side and the Medusa/card draw side.",,
,,2,(+9),36,realdanl,61,52,113,1st,Yes (5.5),4th,31 (5),1st,0 (6),1st,3.645 (8),24.5,,9,31,3,2,3,0,1,0,9,Warlock,Wolfsbane,Warlock,Wolfsbane,First attempt,3,"First play went pretty smoothly, but one or two things I thought maybe I could do better, so let's see how I can improve.  Nope.  Second play was more turns for fewer points and more escapes.  Turns out, those Sinister Clones went easy on me first time around and I forgot what a pain they can be flooding the City early.",,
,,3,(+8),34,Buya & DSCern,53,59,112,1st,Yes (5.5),5th,35 (4),1st,0 (6),4th,3.2 (5),20.5,,6,23,0,1,2,0,2,0,5,Black Bolt (Inhumans),Warlock,Symbiote Spider-Man,M,First attempt,3,"Maximus is a jerk and always used the wrong Master Strike at the wrong time, everytime!",,
,,4,(+7),34,dontfeedthegreen,27,77,104,1st,Yes (5.5),2nd,30 (6.5),7th,2 (1.5),2nd,3.467 (7),20.5,,50,21,3,2,3,0,2,0,10,Moon Knight,Warpath,Moon Knight,Karnak,First attempt,4,"Stepford Cuckoos carried this for me. I only won this attempt and took an awful long time to do it, with 2 escapes, so I don’t expect to rank high. Tried using Karnak on the other attempt to get When Recruited bonuses and take out Sinister Clones before they could escape, but it did not work!",,
,,5,(+6),33,brentmcampbell & ruuhaku,37,46,83,1st,Yes (5.5),2nd,30 (6.5),1st,0 (6),7th,2.767 (2),20,,9,18,3,1,6,0,1,0,11,Shatterstar,Rictor,Shatterstar,Rictor,Second attempt,4,A setup worthy of Keyword Overload. Maximus was a good bit tougher than I remember him being.,,
,,6,(+5),31,Mangostrike,54,51,105,1st,Yes (5.5),6th,36 (3),7th,2 (1.5),6th,2.917 (3),13,,3,23,2,0,2,0,0,0,4,Siryn,Karnak,Black Cat,Warlock,Second attempt,4,"This was a fun puzzle. I ended up going with Warlock and Black Cat in the second game (wouldn’t usually pick them) because they had lots of cards without printed strike to try and sabotage the abominations. It worked well, but the game took a long time and Mr. sinister henchmen forced some escapes (showed up on turn 3, 5, 8) because I had 4 recruit/2 strike in both hands for the first rounds.
Glad to see some new cards I haven’t played much with!",,
,,7,(+4),32,captaincardone & paisley5002,54,61,115,7th,No (1.5),7th,39 (2),6th,1 (3),5th,2.949 (4),10.5,,7,30,0,0,0,0,1,0,1,Warlock,Wolfsbane,Warlock,Wolfsbane,Second attempt,3,Couldn't ramp up fast enough.,,
,,8,(+3),29,jwigand,48,38,86,7th,No (1.5),8th,32 (1),1st,0 (6),8th,2.688 (1),9.5,,10,24,0,0,7,0,1,0,8,Black Bolt (Inhumans),M,Black Bolt (Inhumans),Gorgon,First attempt,2,I did not enjoy this set up. I felt like I jits never could get enough buy and then had a string of horrible luck in both lf my games that I ended up getting beat by the scheme while there was still plenty of deck left. I even played it a third time just to try different heros but not count it and ran into the same issue. I'm interested to see how others faired and who they took.,,
,,9,(+2),30,Zorotok,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,10,(+1),27,Shaggy427,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
E2,Nightmare on Elf Street,1,(+10),36,SilverFirePrime,53,23,76,1st,Yes (3.5),2nd,24 (5),3rd,1 (3),1st,3.167 (6),17.5,,30,15,4,2,6,2,1,0,15,Rictor,Doctor Voodoo,Doctor Voodoo,Rictor,First attempt,5,"Really fun setup. A scheme/mastermind pair thats very fair but still challenging, and the available sets made hero selection fun as there were so many valid strategies.

Turns out though, I didnt need any strategy in my games.  It was trucks.  Just lots and lots of trucks hurled at a high velocity, right to Mlkeith's face..",,
,,2,(+9),35,GamerGump,22,44,66,1st,Yes (3.5),1st,23 (6),3rd,1 (3),3rd,2.87 (4),16.5,,22,18,1,5,13,1,1,0,21,Strong Guy,Gladiator Hulk,Strong Guy,Gladiator Hulk,Second attempt,4,"We did really bad on the first game, lots of Scheme twists early, had 3 8 cost cards filling the HQ. just did not go our way. We were able to get the mastermind hit quickly the second game and the cards just were on our side. Not a terribly hard combo of Mastermind and Scheme.",,
,,3,(+8),34,Swagolas,49,40,89,1st,Yes (3.5),4th,29 (3),3rd,1 (3),2nd,3.069 (5),14.5,,9,15,2,5,5,2,1,0,15,"Joe Fixit, Grey Hulk","Ancient One, The","Joe Fixit, Grey Hulk","Ancient One, The",Second attempt,5,"I decided to go all-in on recruit power and try to defeat the enemies with ""bribe"" or by putting them to the Astral plane. Joe Fixit and The Ancient One were really good choices for that strategy, while She-Hulk helps the high recruit setups. Doctor Strange does nice combos with his own cards, so he was a good support also. I just decided to mostly ignore Multiple Man. In the first game my hero recruits were really strong from the beginning, finished the game pretty quickly (25 turns), but I let 3 villains escape. The second game was a little longer, but I had only 1 escape and a better PPT score. I just didn't see any rare cards in that game :( Combining the hero deck luck from my first game with the villain deck luck from the second would result in a really short game :D But overall I really did enjoy both of my games, 5/5 =)",,
,,4,(+7),32,Bikk Bikk,44,43,87,1st,Yes (3.5),6th,34 (1),1st,0 (5.5),4th,2.559 (3),13,,1,15,0,0,6,1,2,0,9,Amadeus Cho,Lady Sif,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"Some of my favorites are in this setup. 
I paired Amadeus Cho with multiple man and the deck ended up being a really solid choice. I outwitted every turn given MMs cards are all four and Amadeus’s cards aren’t. So any given hand with both of them and a starting card hit the outwit. And the instinct tech pairing between them got me 13/14 of MMs cards so I drew a ton and got stranges rare and Amadeus’s rare. Got to use them both too, I cycled the deck so quickly. Also I KOed my every starting card on the left thanks to MM rare and feasting smartly.
Right hand went the artifact route with strange and sif. Drew a consistent attack amount. Not a ton dependable. Also KOed 7 starters thanks to feasting. 
I drew three scheme twists back to back thanks to the scheme mechanics and I made a lot of use of the time, given I also drew four rates back to back into the hq. But korg KOed one and once the Me, Myself, and I machine got going I recruited the Eye of Agamotto and Visualize the Variables, the Re-Absorb Duplicates wasn’t too hard to get either. 
Multiple Man is one of my favorite heroes to use. If he gets into the HQ even a little bit he has been so dependable for me. And I love doing different kinds of artifacts from different sets. so this game was so well designed and super fun to play! Thank you!",,
,,5,(+6),31,zombiegamer5,27,48,75,1st,Yes (3.5),5th,30 (2),1st,0 (5.5),5th,2.5 (2),13,,21,14,1,4,6,2,0,0,13,"Joe Fixit, Grey Hulk",Hulkbuster Iron Man,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"First off, I always appreciate the punny names of the setups and I especially liked this ones pun since I'm a big Nightmare on Elm Street fan. This was definitely a game of firsts for me. First time playing with villainous weapons, astral plane1, and transforming cards. I used three transforming herpes and managed to trigger a transformation upgrade once for each of them. I'm really glad I had such heavy hitters since the villainous weapons really stacked up. I didn't worry too much since I managed the city pretty well which enhanced the fun factor for me. This setup is definitely worth playing!",,
,,6,(+5),31,Ashyy23,35,21,56,1st,Yes (3.5),3rd,25 (4),6th,2 (1),6th,2.24 (1),9.5,,14,6,2,4,7,3,2,0,18,"Ancient One, The",Clea,Amadeus Cho,Gladiator Hulk,Second attempt,2,Nil,,
,,7,(+4),30,Extra cheese & Pizza,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,8,(+3),29,Loconnole & Klcgolf,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,9,(+2),27,pspblink & Adaline,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,10,(+1),26,Wicked.pepper,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,Little Red Lying Hood,1,(+10),34,cglied,30,38,68,1st,Yes (5),2nd,25 (7),1st,0 (5.5),2nd,2.72 (7),24.5,,8,6,2,3,6,5,1,0,17,Black Widow (Avengers),Iron Man,Black Widow (Avengers),Iron Man,Second attempt,4,"Enjoyed the setup. Never quite the Black Widow bystander machine engine going in either game, but drawing lots of cards and staying on tech was helpful. 
Btw, I keep having issues with my scores the last few weeks. The results have been showing a lot more escapes than I've had or entered in the system. For the record, I had 0 escapes for the game I'm posting. That is also what I see on the form as I submit it.",,
,,2,(+9),34,Adrian Miller,50,29,79,1st,Yes (5),5th,29 (4),1st,0 (5.5),1st,2.724 (8),22.5,,21,7,2,4,5,1,1,0,13,Thor (Avengers),Iceman,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,.,,
,,3,(+8),33,WingedCrusader,17,57,74,1st,Yes (5),4th,28 (5),1st,0 (5.5),3rd,2.643 (6),21.5,,40,8,3,3,3,3,0,0,12,Black Widow (Avengers),Punisher,Black Widow (Avengers),Forge,Second attempt,3,"I think the heroes were kinda tough to choose, the scheme was pretty insane we had a tough time dealing with it! once it gets to 5 6 7 it becomes a challenge.  My job became buying agents from the scheme while my roommate made a darkhawk deck. At least we won!",,
,,4,(+7),30,OleRockyTop,10,45,55,1st,Yes (5),1st,24 (8),1st,0 (5.5),6th,2.292 (3),21.5,,35,5,3,2,6,3,1,0,15,Domino,Forge,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,Pretty basic setup. Those scheme twists are dangerous though.,,
,,5,(+6),30,CoreyG,23,38,61,1st,Yes (5),3rd,26 (6),1st,0 (5.5),5th,2.346 (4),20.5,,15,7,1,4,5,4,1,0,15,Domino,Forge,Domino,Forge,First attempt,4,"Tech cards and dual-symbol synergies! My choices of Domino and Forge felt great to pair hyperspeed and versatile nicely. Readily satisfied tech card requirements, including a relatively early recruited Forge B.F.G. which consistently was huge! Interesting potential tension between Nick Fury's opportunity to recruit Shield Officers while the Scheme didn't want you to run out of them. Ended up not being too relevant though. I took the opportunity to fight the Scheme's Officers rather than recruit them, so my officer deck wasn't in danger of running out. Interesting setup with different interactions!",,
,,6,(+5),30,Gideon Wyatt & Mrs. Gideon Wyatt,31,43,74,1st,Yes (5),6th,31 (3),7th,1 (1.5),4th,2.387 (5),14.5,,12,6,1,2,1,4,0,0,8,Domino,Storm,Domino,Storm,Second attempt,3,"I thought a hyper speed deck with domino and Darkhawk would be fun, my wife did not enjoy it. Game 1 we got 5 twists in the first 7 turns, spent too much time stressing the scheme that by the time we got it handled it was too late and we had ignored the MM. Game 2 was a little better but it took a while to get to hit the MM. Master Strike keep discarding my Storm rare and I never got to use it despite buying it on turn 8.",,
,,7,(+4),28,Off the Cuff,49,25,74,1st,Yes (5),7th,35 (2),1st,0 (5.5),7th,2.114 (2),14.5,,24,10,1,2,3,1,0,0,7,Daredevil (Marvel Knights),War Machine,Daredevil (Marvel Knights),War Machine,First attempt,3,Hyperspeed never felt so good,,
,,8,(+3),27,Bronson & Lighthouse,37,19,56,8th,No (1),8th,41 (1),7th,1 (1.5),8th,1.366 (1),4.5,,18,14,1,0,0,0,0,0,1,Black Widow (Avengers),Forge,Black Widow (Avengers),Forge,Second attempt,2,Deceptively hard. One of our worst tournament submissions ever. First game we lost to the scheme in 27 turns so the second time tried to focus really hard on saving Officers but never got to attack the Hood once. Maybe would have been better served to try two games completely ignoring the scheme and going for the MM.,,
,,9,(+2),27,Flipflopmaniac,37,20,57,-,No,-,31,-,0,-,1.839,-,,17,8,0,2,4,3,0,0,9,Forge,War Machine,Forge,War Machine,Second attempt,3,I enjoyed how Forge and War Machine worked with the other heroes but Hood was extremely disruptive and with all the KO's from the scheme it was more likely he dumped 4-5 cards every time.  Lost with 9 attack in hand and all tactics gone.,,
,,10,(+1),26,david_h11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E4,Essexplosions,1,(+10),33,Ocs333,62,18,80,1st,Yes (5),1st,16 (9),1st,0 (5.5),1st,5 (9),28.5,,44,28,2,5,9,7,2,0,25,Jean Grey,Cable,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"With the stress for wanting to perform well now gone, I aimed to have a bit thematic, fun game. So against Sinister and phalanx I picked Jean Grey and Cable (X-Men 97 motivations). Also I felt that Jean will be fun with the many bystanders. 
I did not expect, that I will be quite lucky. Left-hand could pick good JG cards early, and getting the Rare in turn 7. Other hand went for Colossus, then Cable. 
With Jean Cards in place, and actually useful KOs coming from Feast and Phalanx. Left-hand started steamrolling Sinister. (1 tactic down in turn 9, 1 in turn 13, 2 in turn 15). Reshuffles were lucky and Vertigo villain also helped. By turn 15 I also had the card draw/ bystander Jean Card, so ended up having all my deck to deal 2 blows to Sinister, and clear the city as well.  In the meantime, due to some well timed master strikes and three copies of Cable's  Disaster survavibility I ended up drawing 9 extra cards, also having the whole deck for Right-Hand. This way Cable could deliver the final blow. 
So this turned out to be one of those low turn count, albeit high VP games. (Too bad this did not happen on Week 4 :). 
I guess there was something about a bomb as well, and quite unexpected Quake and Groot cameos... 
So yeah, just wanted to have fun and actually had it! 

 ",,
,,2,(+9),32,Doormatte,49,16,65,1st,Yes (5),2nd,19 (8),1st,0 (5.5),2nd,3.421 (8),26.5,,33,15,2,0,11,5,0,0,18,Bishop,Iceman,Bishop,Iceman,First attempt,4,First game: did not see iceman until the end green carried me to victory. Second game iceman finally showed up and took me to victory but much slower,,
,,3,(+8),31,Babybreloom,33,48,81,1st,Yes (5),4th,24 (6),1st,0 (5.5),3rd,3.375 (7),23.5,,15,17,2,5,7,3,0,0,17,Mockingbird,Spider-Woman,Deathlok,Spider-Woman,Second attempt,4,"Spider-Woman gave me JUST enough deck manipulation that I could mitigate some of the risks associated with Feast in this scheme, and Deathlok gave me SHIELD levels for Quake while alsos providing me with Tech to avoid Phalanx KOs. BOTH of my games had the first two scheme twists IMMEDIATELY blow up on me.",,
,,4,(+7),29,mrdollar11 & TheSquishyFish,20,51,71,1st,Yes (5),3rd,22 (7),1st,0 (5.5),4th,3.227 (6),23.5,,31,15,2,3,7,6,0,0,18,Forge,Deathlok,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"Deathlok felt a little like a cheat, but man is Groot and Colossus a fun combo. Good stuff",,
,,5,(+6),28,JB007,38,46,84,1st,Yes (5),6th,27 (3.5),1st,0 (5.5),6th,3.111 (4),18,,8,15,1,3,5,4,1,0,14,Deathlok,Wolverine (X-Force),I did not play a second attempt.,I did not play a second attempt.,First attempt,3,I have always liked this scheme. It is simple but fun! I was able to get one player to go heavy into shield and the other was going all green and getting wounds from colossus and then groot was KOing the wounds! So good!,,
,,6,(+5),27,Narellish & ooskarr,44,30,74,1st,Yes (5),5th,26 (5),1st,0 (5.5),8th,2.846 (2),17.5,,14,15,3,4,4,3,1,0,15,Domino,Forge,Domino,Forge,Second attempt,4,"This was fun, but a bit stressful when having to draw after a scheme twist. So this one felt a bit more luck based than skill based as the drawing from those scheme twists/bystanders small deck was tough luck. We enjoyed playing with the heroes though!",,
,,7,(+4),27,sword'n'sorcery,41,42,83,1st,Yes (5),6th,27 (3.5),1st,0 (5.5),7th,3.074 (3),17,,1,13,1,4,7,2,0,0,14,Bishop,Iceman,Bishop,Iceman,First attempt,4,"Groot/Colossus was a really neat combo! I played well both games, but I just got a bit luckier in game 1 with the way that the Scheme Twist Deck panned out. Sinister/Marauders are one of my favorite groups to against. I wish I had more of my better bystanders in the deck to make the most of them though...",,
