Pod,Setup,Rank,Points Earned,Total Points,Name(s),VP 1,VP 2,"Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Diff.,Bst. Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Lv.,Comments,,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,MS,ST,VG,HM,BST,N/A,Total,1,2,1,2,,,,,5
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,
48,Ultron's Rock Collection,1,(+8),43,MicroDisney0505,88,4,92,1st,Yes (5),2nd,19 (6),1st,0 (5.5),1st,4.842 (7),23.5,,84,22,2,3,7,4,0,0,16,Apocalyptic Black Widow,Ultron,Apocalyptic Black Widow,Ultron,First attempt,4,Ultron really helped take care of his alternate reality version. He help prevent many wounds. Side 2 sadly lost much vp due to schemes.,,
,,2,(+7),35,Justitiana,57,8,65,1st,Yes (5),1st,15 (7),1st,0 (5.5),2nd,4.333 (6),23.5,,49,10,5,6,10,1,1,0,23,Party Thor,Star-Lord T'Challa,"Gamora, Destroyer of Thanos",Carnage,Second attempt,4,"My first attempt was terrible. I also chose a 'wrong' hero, Star-Lord T'Challa for that attempt, which would make all the empowered stuff harder (Sentries and Ultron, Infinty). The city felt ok, I had recruited multiple Strength cards from Party Thor to kill Gammenon soon and some Ultron Sentries to defeat, but he managed to escape pretty early and was followed by Tiamut in turn 10. I just gave up at that point, as it went rough, and I can't imagine recovering from that.

Attempt 2, I changed my heroes first. Gamora, with in mind that I might need +Infinity attack if the game takes longer. And Carnage for more Instinct to hopefully preventg Tiamut escaping again. I ended up drawing lots of Ultron Sentries, and only a few Celestials and Strange's Demons. The Ultron Sentries helped KO for Deck 1 greatly. I ended up with 9 starters KO'd. Also, the Celestials I drew were double Gammenon and one Nezzar. I had been building deck 1 for Strength and Tech cards, with mostly Venom's 4-costs, Killmonger's 4-costs, Carnage's 4-costs and 1 of Killmonger's 2 costs. I also recruited 1 Madame Hydra once and a 2-cost of Doctor Strange Supreme. If I recall correctly in turn 11 I could defeat the Double Gammenon and two other Ultron Sentries. I had a stroke of good luck with the triggers and both of Killmonger's 4-costs and 4 S.H.I.E.L.D. Troopers (I had then already KO'd 5 of my S.H.I.E.L.D. Agents) preceded by Carnage's 4 cost and Killmonger's 2-cost for 14 attack. Both Gammenon's were only 4 attack due to Cosmic Threat. So I defeated them both and then the 2 Ultron Sentries and rescued 5 bystanders that turn. Nezzar was defeated earlier by deck 2. Turn 13 was another villain and two more bystanders and I recruited another of Carnage's 4-costs. Turn 15 was the magical turn in which I ended up buying Gamora's 4-cost, ""Wield the Blade of Thanos"" and defeated the Strange's Demon that let you draw two cards (for Soulbinding) to draw my discard pile with Madame Hydra and Gamora's 4-cost (I gambled that it would be worth it as I had already drawn 8 cards that turn, 4 from double Carnage's 4-cost, 1 from Doctor Strange Supreme and 1 from Dodging Madame Hydra. I didn't see the infinite combo until those two cards were in my hand though. I dodged the Madame Hydra to draw itself over 9000 times and then played Gamora's 4-cost for a win in turn 15!

Deck 2 tried to build into Gamora and Doctor Strange, but was severly underimpressive. And perhaps luckily so. Deck 1 could really shine because almost al the Sentries showed up and almost all got defeated by deck 1. Deck 2 in total defeated 3 enemies. One Ultron Sentry, one Nezzar and one Strange's Demon (for the 2 KO's from discard pile for double Soulbind (which I used).
",,
,,3,(+6),43,SnekeTV,37,58,95,1st,Yes (5),3rd,24 (4.5),1st,0 (5.5),3rd,3.958 (5),20,,21,22,1,2,4,3,0,0,10,Mysterio,Ronan the Accuser,Mysterio,Ronan the Accuser,First attempt,5,"Gamenon the gather giving bystanders per villain defeated, Ronan giving shards per bystanders, ronan using said shards to draw more ronans and killmongers for green/tech synergies, giving villains more bystanders and activating liberate to get more bystanders and more shards and more cards! Oh and the prizes from contest of champions? Thats right, more bystanders and shards! Mysterio made great use of Venom . . . who was never bought but used to go to the bottom of the deck since shifting decoy could get +2 in fight and recruit from every venom card, unless I really needed to move a certain colour out of hq to fight ultron I could possibly gamble on changing empowerment numbers. Great setup with challenging decision making of whe to soulbound and when to keep boons.",,
,,4,(+5),36,JParnell,63,28,91,1st,Yes (5),5th,26 (3),1st,0 (5.5),4th,3.5 (4),17.5,,35,10,1,4,4,1,0,0,10,Electro,Ultron,Electro,Ultron,First attempt,4,"Infinity Ultron is always challenging, but I felt good about my Hero(?) choices this round. Killmonger and Strange are excellent anchors to decks, and I went with Ultron to pair with Killmonger to generate massive attack, and Electro with Strange to potentially generate infinite attack with Supercharge in the event Ultron went infinite himself. That wasn't needed as only 4 Strikes showed up, and Killmonger and Ultron (the normal one) were enough to take down 5 Celestials and Ultron (the Infinity one) 3 times.",,
,,5,(+4),34,Zer00verride,58,22,80,1st,Yes (5),3rd,24 (4.5),5th,1 (3),5th,3.333 (3),15.5,,36,9,3,5,4,1,0,0,13,Ultron,Green Goblin,Ultron,Green Goblin,First attempt,3,"Had a tough choice for heroes here. I knew I wanted to use Ultron as it was fun to have him against himself. Other than that it was really between Gamora, Black Widow and Green goblin with also the outside possibility of Electro. Gamora is just strong in any setup and her rare would allow hitting Ultron when he had all the stones but I felt if the game had got to that point I had taken too many turns anyway. Went with Goblin in the end so hope I made the right call.",,
,,6,(+3),32,Sandals,46,29,75,6th,No (1.5),7th,30 (1),6th,4 (1.5),6th,2.5 (2),6,,17,13,0,0,0,0,0,0,0,Electro,"Gamora, Destroyer of Thanos",Electro,"Gamora, Destroyer of Thanos",Second attempt,1,"That was a really disappointing set up to be faced with for the first elimination round. I feel we had absolutely no chance either game as the villain deck ensured we couldn't hit Ultron. If we go out here, it'll leave a bad taste in my mouth.
As for the game, Ultron went infinite on turn 18 in game 1, then in game 2 we lasted until the penultimate turn before he was unbeatable. I had added Gamora as a last ditch attempt at hitting him on infinite, but I never had more than one villain in my victory pile during the entire game. My wife collected a fair few Celestials for points, but we were forced to focus on the City we never got close to hitting Ultron.",,
,,7,(+2),32,KelgatesKollections,31,34,65,6th,No (1.5),6th,34 (2),6th,4 (1.5),7th,1.912 (1),6,,3,4,0,0,0,0,0,0,0,"Gamora, Destroyer of Thanos","Uatu, The Watcher","Gamora, Destroyer of Thanos","Uatu, The Watcher",Second attempt,3,"Difficult. I couldn't get the right balance between managing the city and getting to Ultron in time. Before I knew it, he got 5 Master Strikes right away and my game was basically over. Was hoping the Gamora rare could save me from it but never drew it in two games.",,
,,8,(+1),32,Tozar,40,34,74,-,Yes,-,24,-,0,-,3.083,-,,6,17,1,4,4,2,0,0,11,Ronan the Accuser,Venompool,Ronan the Accuser,Venompool,First attempt,4,We'll see if I picked the right attempt.  Hardest choice of the round.,,
