Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Diff.,"By-
standers
rescued","Hero Choice 1
(Attempt 1)","Hero Choice 2
(Attempt 1)","Hero Choice 1
(Attempt 2)","Hero Choice 2
(Attempt 2)","Attempt
Used",Fun Level (no slash),Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,
,,,,                                                            Upper Bracket,,,,,,,,,,,,,,,,,,,,,,
17,Kang Trains Black Widows in the Red Room,1,MicroDisney0505,53,28,81,1st,Yes (5.5),1st,19 (9),1st,0 (6.5),1st,4.263 (9),30,,25,13,The Ancient One,Totally Awesome Hulk,The Ancient One,Totally Awesome Hulk,Second attempt,5,5/5,"The Ancient One moved villains out of the ""Time"" locations. Totally Awesome Hulk was to help with the wounds from the Vishanti.  He never was recruited in my winning game (showed up too late). The Ancient one was the star with hitting Kang twice in one turn."
,,2,Sparky001,58,44,102,1st,Yes (5.5),3rd,25 (6.5),1st,0 (6.5),2nd,4.08 (8),26.5,,14,27,Nova (Champions),Psi-Lord,Nova (Champions),Psi-Lord,First attempt,4,4/5,"Game 1 and 2 came close in score due to high amount of Bystander rescues between both Nova and Ms Marvel.
 Rather then use the rescued Maria Hills I added them to the VP, went with a red and yellow combo on the left hand to make use of Psi Lords abilities and combos of ms marvel and white tiger, we’re as right hand used a mostly champions combo of Nova and Ms Marvel Blue and Green.
 Took a while to get going attack wise but had enough to deal with city till could deal with Kang."
,,3,BleshInTheFlesh,22,62,84,1st,Yes (5.5),3rd,25 (6.5),1st,0 (6.5),3rd,3.36 (7),25.5,,40,5,Heralds of Galactus,Fantastic Four United,Heralds of Galactus,Fantastic Four United,First attempt,4,4/5,Fun setup
,,4,OllieKitKat & Kylah15,24,42,66,1st,Yes (5.5),2nd,22 (8),1st,0 (6.5),7th,3 (3),23,,18,5,The Ancient One,Psi-Lord,The Ancient One,Psi-Lord,First attempt,4,4/5,"The second game was certainly not worth submitting, but we played through it anyway. Ollie had a decent plan though that thankfully worked at least on the first play through.  One side focused on recruit with the Ancient One & Psi-Lord and was able to hit the mastermind several times with it. Kylah did the Dark Memories thing with White Tiger & Vishanti, and Ms Marvel."
,,5,JustHarold,55,30,85,1st,Yes (5.5),6th,28 (4),1st,0 (6.5),6th,3.036 (4),20,,25,9,Clea,Totally Awesome Hulk,Heralds of Galactus,Fantastic Four United,Second attempt,5,5/5,"I wish I had played both rounds with F4 and heralds. Clea and Hulk did okay at 30 turns and 3 escaped, but stacking the 4 cost heros in one hand on game 2 just put in so much work. I hit a lot of master strikes early so i feel if i was luckier I could have ended the game sooner. Galactus and super early deck manipulation made me want to continue playing this setup. With some turns pushing out 3+ villans you really need to be careful spending your attack wisely. Winning turn drew whole deck and generated 26 attack while moving villans in the city to get them out of the incursion zones. also had fun starting turn with 10 cards in hand thanks to Agamotto."
,,6,snash108 & SBPKECN,54,30,84,1st,Yes (5.5),5th,26 (5),8th,2 (2),5th,3.231 (5),17.5,,24,13,Clea,The Ancient One,Clea,The Ancient One,Second attempt,5,5/5,"Brought The Ancient One, to kick villains out of Kang's Time Incursions. Clea tagged along to provide more recruit for Astral Plane battles and make Demonic Bargains more successful. 

Went completely according to plan. Covert side(snash108) kept the Time Incursions free of villains, and hit King with a metric ton of recruit. All the card draw from Ms. Marvel certainly helped speed things along.

SBPKECN made excellent use of Dark Memories. Would have liked it to have been a few turns shorter, but hopefully we were quick enough!!"
,,7,Lamertien,57,57,114,1st,Yes (5.5),7th,35 (2.5),7th,1 (3),4th,3.257 (6),17,,0,7,Black Widow (S.H.I.E.L.D.),Yelena Belova,Black Widow (S.H.I.E.L.D.),Yelena Belova,Second attempt,4,4/5,"This was a good setup for two long games. The hero selection was difficult here with only 17 heroes to choose from. I considered The Ancient One and Psi-Lord. But I changed my mind and ended with the two ""Shields"" Black Widow and Yelena. The provided good and fast attack and also gave me some additional points with going undercover and helped to build up my decks quickly! I hope my game didn't last too long. If I hadn't played many early strikes in both matches things would have been much easier for me!"
,,8,Silverfox & Blushingether,39,49,88,1st,Yes (5.5),7th,35 (2.5),1st,0 (6.5),8th,2.514 (2),16.5,,10,4,Falcon & Winter Soldier,Totally Awesome Hulk,The Ancient One,Fantastic Four United,First attempt,3,3/5,Had to use our first attempt since we had scheme twist after scheme twist on our second. You can imagine that didn’t end well.
