Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,Bystanders Rescued,Scheme Twists in the Villain Deck,Hero Choice 1,Hero Choice 2,Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,
1,Macho Gomez's Gladiator Pits of Sakaar,1,iburnicus,54,23,77,1st,Yes (3),1st,31 (4),1st,0 (3),2nd,2.484 (3),13,,5,1,Storm & Black Panther,Cloak & Dagger,4/5,"lost the first try, but had more luck the 2nd go"
,,2,Dre 2 point 0,37,49,86,1st,Yes (3),2nd,32 (3),1st,0 (3),1st,2.688 (4),13,,4,0,Thing,Falcon,5/5,"The HQ got locked up in the first few turns with 3 rares, but eventually I had Thing and Human Torch’s rares and hit Macho 3 times in one turn!"
,,3,Grey Warden,21,63,84,1st,Yes (3),3rd,37 (2),4th,1 (1),3rd,2.27 (2),8,,8,1,Captain America,Invisible Woman,4/5,"Cap was key, I was so glad I chose him. The Avengers definitely ran smoother than the Fantastic Four here. My wife was even able to pull a 6 color combo with the Perfect Teamwork."
,,4,Mikeygill97,32,55,87,4th,No (1),4th,39 (1),1st,0 (3),4th,2.231 (1),6,,3,0,Vision,Cloak & Dagger,4/5,
2,Mr. Sinister Hails Hydra,1,Mr_Giraffe,19,51,70,1st,Yes (2),1st,20 (3),1st,0 (2),1st,3.5 (3),10,,10,5,Forge,Domino,4/5,Forge with almost all tech deck can destroy anyone
,,2,MicroDisney0505,14,67,81,1st,Yes (2),3rd,26 (1),1st,0 (2),2nd,3.115 (2),7,,18,7,Nick Fury,Agent Phil Coulson,5/5,"After trying to decide on the 2 heroes,  I ultimately decided to go SHIELD.   Nick Fury's rare did not help at all as most SHIELD cards went undercover not KOed. All the tech won the game. Iron Man and the Arc Reactor was giving me 10+ attack each turn. Never could hit Blob as no xmen. He just stayed in the streets most of the game."
,,3,FlipFlopManiac,38,37,75,1st,Yes (2),2nd,25 (2),1st,0 (2),3rd,3 (1),7,,13,5,Hulkbuster Iron Man,Nick Fury,5/5,"The initial HQ included two Repulsor Rays and I was hesitant to take them since my plan and hero choice was to go tech and tech/strength for Hulkbuster transformations.  However, after grabbing a couple Seek The Nega-Bands and transforming them into Captain Marvel, the ranged synergy made the right side very strong.  Left side... two Legendary Commanders with Deathlok SHIELD level thinning."
3,Galactus' Midtown Bank Robbery,1,WrightHandMan65,53,40,93,1st,Yes (3),2nd,26 (3),2nd,2 (2.5),1st,3.577 (4),12.5,,19,3,Super-Skrull,Heralds of Galactus,2/5,Really really hard setup! My first play through I lost on turn 29 but my second go-around I hit it out of the park. Side note* I defeated Galactus with a Final Blow using Galactus Hungers 😂😂😂
,,2,Lamertien,63,63,126,1st,Yes (3),3rd,38 (2),1st,1 (4),2nd,3.316 (3),12,,26,1,Captain America 1941,Super-Skrull,4/5,"Epic setup! The usually ""easy"" Scheme got very difficult with all that tough Villains; Super-Skrull & Cap's time travels saved the day!"
,,3,Astigmatic_Oracle,48,27,75,1st,Yes (3),1st,24 (4),2nd,2 (2.5),3rd,3.125 (2),11.5,,19,2,Black Widow,Human Torch,3/5,"On attempt #2 to better my score, Morg ended up with all the bystanders and then Galactus ate his city space causing instant loss. Good thing the first attempt went better."
,,4,Montax30,-,-,-,-,-,-,-,-,-,-,-,-,,-,N/A,Super Skrull,Captain America 1941,-,Unfortunately I was not able to actively play this round because I am on tour and didn't bring these cards with me. Looking forward to competing in the lower bracket!!
4,Mephisto's Dark World of Svartalfheim,1,Avataristche,49,11,60,1st,Yes (4),1st,25 (4),1st,0 (3),1st,2.4 (4),15,,6,3,Elektra,Bishop,3/5,"My first try went so bad i didnt even finish it, literally everything went wrong, cards drawn in worst possible order, constantly short 1 attack or recruit, it was a nightmare (rated 1 for Fun). In the second one Iceman finally did what he does and slapped Mephisto for 45 ^^ (rated 5 for Fun, therefore an average of 3 goes on record)"
,,2,Off the Cuff,30,14,44,2nd,No (2),3rd,31 (2),1st,0 (3),2nd,1.419 (3),10,,6,1,Elektra,Thor (Heroes of Asgard),4/5,The turn I would have won the game was the turn the losing Twist came out. Such is life.
,,3,7tadpole7,11,15,26,2nd,No (2),2nd,32 (3),4th,6 (1),3rd,0.813 (2),8,,10,1,Thor (Heroes of Asgard),Star-Lord,3/5,
,,4,Adam_Friend,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,Storm,Hulk,-,Could Not Play :-(
5,The Sentry Floods the Planet with Melted Glaciers,1,Cerberin,40,39,79,1st,Yes (3),2nd,25 (3.5),1st,0 (4),1st,3.16 (5),15.5,,8,3,Dazzler,Aurora & Northstar,5/5,"Really fun setup, no rares were recruited through the entire game, Left hand was focused on lightshow and some USM, right hand went with full ranged deck focusing on Havok. On turn 25 I've managed to generate 12 attack and 9 PE which was enough to defeat 3 villains and do the FInal Blow on the MM."
,,2,R3DJ0N,24,29,53,1st,Yes (3),1st,22 (5),1st,0 (4),5th,2.409 (1),13,,7,4,Human Torch,Aurora & Northstar,4/5,"In hindsight, I seriously underestimated the number of wounds this mastermind generates. I probably should've just gone with a wolverine but I was hoping for synergy with havoc. Unfortunately, he barely bothered to show up. I had a good game though."
,,3,Kylah & Ollie,29,47,76,1st,Yes (3),5th,27 (1),1st,0 (4),2nd,2.815 (4),12,,11,5,Legion,Aurora & Northstar,5/5,"We often overlook Legion, cause he is a bit all over the place. But when he comes to play. It just works."
