Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,Bystanders Rescued,Scheme Twists in the Villain Deck,Hero Choice 1,Hero Choice 2,Fun Level,Comments
,,4,kata124,40,27,67,1st,Yes (3),2nd,25 (3.5),5th,2 (1),3rd,2.68 (3),10.5,,10,4,Invisible Woman,Mr. Fantastic,4/5,"Pretty fun setup. Jubilee works surprisingly well with Ultimate Spider-Man. And having one hand focus on lower cost cards really helped mitigate the Flood the Planet Scheme. Sentry is always a fun fight with a setup that really changes the early game. The only pain point was Havok. I typically like playing Havok and felt like there was a lot of ranged with Invisible Woman and Jubilee, put he just didn't click. I even discarded some key cards to his beserk at unfortunate times. The other heroes I had considered were Captain Marvel and Magik. Both have a lot of ranged and Magik works well with low cost cards / sidekicks. Ultimately I'm glad I picked the safer choice of F4. Invisible Woman's KO card enabled the early game. Mr. Fantastic's uncommon is very strong and helped me wrap up the game up with a 27 fight turn."
,,5,MrJTince,40,28,68,1st,Yes (3),4th,26 (2),4th,1 (2),4th,2.615 (2),9,,13,2,Magik,Spider-Man,4/5,First time playing with The Sentry and starting with wounds is tough.
6,The Goblin Splices Humans with Spider DNA,1,wicked.pepper,42,52,94,1st,Yes (2.5),1st,28 (4),3rd,1 (2),1st,3.357 (4),12.5,,28,2,Spider-Man,Iron Man Noir,5/5,"This was a puzzle, first time I couldn't get better than a draw. Second time it went a lot better. If the bystander stack is empty, you can't get a hidden witness through ambush!"
,,2,meimbatman,62,27,89,1st,Yes (2.5),2nd,32 (3),1st,0 (3.5),3rd,2.781 (2),11,,28,0,Iron Man Noir,Scarlet Spider,4/5,
,,3,Barrit,25,74,99,1st,Yes (2.5),3rd,34 (2),4th,2 (1),2nd,2.912 (3),8.5,,28,5,Spider-Man,Scarlet Spider,3/5,Just watched No Way Home and thought triple spider-men would be thematically great against Goblin and the spider-foes of different dimensions but it was honorary spider-friend Black Widow who actually did all the work as she ate up the bystander / hidden witness deck.
,,4,zer00verride,39,72,111,1st,Yes (2.5),4th,42 (1),1st,0 (3.5),4th,2.643 (1),8,,31,0,Luke Cage Noir,Daredevil Noir,4/5,Had a lot of fun with this setup. Was good to use both the sets i think i have probably played the least.
7,Trapped in the Insane Asylum by Authoritarian Iron Man,1,Adrian Miller,24,49,73,1st,Yes (3),1st,20 (3),1st,0 (2.5),1st,3.65 (3),11.5,,2,4,Stature,Hulkling,5/5,"Was an interesting scheme I never played before was interesting playing cards not by my own choosing, luckily enough I only had one scheme show up then I sent it to the side where I didn’t really care what was played first."
,,2,snash108,38,54,92,2nd,No (1.5),2nd,38 (1.5),1st,0 (2.5),2nd,2.421 (2),7.5,,10,0,Storm,Storm & Black Panther,3/5,"Picked Storm to try to mitigate Iron Man's fortification effects, but the scheme kept making me play things in the wrong order. Was short 1 attack like 3 times..."
,,3,bdst,40,38,78,2nd,No (1.5),2nd,38 (1.5),3rd,1 (1),3rd,2.053 (1),5,,5,0,Black Widow,"Steve Rogers, Director of SHIELD",1/5,"Setup was (I think) impossible to win. (Tried later with different Hero combos with even less success (at least I snagged 2 tactics)). It's not a lot of fun playing 4 cards mechanically, especially when you see a really combo destroyed by card order. This was my 2nd playthrough (much better than first) and was lucky with Scheme Twist 5 being the last card in the Villain Deck."
8,Magus's Pulse Waves from the Negative Zone,1,Ashyy,51,36,87,1st,Yes (3),1st,27 (4),1st,0 (3),1st,3.222 (4),14,,14,2,Groot,Star-Lord,4/5,
,,2,SilverFirePrime,70,45,115,1st,Yes (3),3rd,36 (2),1st,0 (3),2nd,3.194 (3),11,,16,1,Groot,Rocket Raccoon,3/5,
,,3,nlnrose,25,52,77,1st,Yes (3),2nd,32 (3),4th,4 (1),4th,2.406 (1),8,,15,2,Phyla-Vell,Quasar,4/5,
,,4,Jerzin,42,38,80,4th,No (1),4th,33 (1),1st,0 (3),3rd,2.424 (2),7,,0,9,Groot,Yondu,4/5,"Nebula really help me with KOing, second player has Gamora generating shards with Ronan. The game was in really good shape to finish it with win, unfortunately 9th Scheme Twists killed me. But KOing and using shards was fun!"
9,M.O.D.O.K.'s Portals to the Dark Dimension,1,Drewfusmcge,49,24,73,1st,Yes (3),1st,28 (4),1st,0 (3.5),1st,2.607 (4),14.5,,9,2,Emma Frost,Jean Grey,3/5,"Man Emma Frost's rare was perfect for this setup. Using attack to fight villains to gain recruit to hit Modok's transformed side was perfect. Two times this game I got to hit him with recruit and then again with attack in the same turn. Jean Grey, Emma Frost, and Gambit are just so good together. Much better than my first attempt lol."
,,2,THS_coconutgamer and THSmjsmith,16,63,79,1st,Yes (3),3rd,35 (2),1st,0 (3.5),2nd,2.257 (3),11.5,,4,2,Wolverine (X-Men),Cyclops,5/5,
,,3,ItStartsWith1,29,43,72,1st,Yes (3),2nd,32 (3),3rd,1 (2),3rd,2.25 (2),10,,7,1,Shatterstar,Storm & Black Panther,4/5,"Didn’t hit MM until turn 31, proceeded to hit him all 5 times in the last 2 turns! Was able to build enough Atk and Rec on both sides to ping pong him between his 2 sides! Really fun hero deck!"
,,4,Etheron/atom426,25,27,52,4th,No (1),4th,28 (1),4th,2 (1),4th,1.857 (1),4,,4,0,Bruce Banner,Hulkbuster Iron Man,5/5,"Had lots of fun with this one. Completely forgot OUTWIT used cost and chose my heroes thinking it depended on CLASS. D’oh! In the end, it came down to the final blow. I had enough to take out MODOK and win the game, but opted to clear some villains from the city and take one or two more turn. Still had 13 villain cards in the deck. Big mistake. The following card has the 7th and final game ending scheme twist. What a rush. I love this game. Thanks for setup, Bagel!"
10,Carnage's Negative Zone Prison Breakout,1,Mangostrike,42,22,64,1st,Yes (2.5),1st,17 (4),3rd,1 (2),1st,3.765 (4),12.5,,7,2,Spider-Man,Scarlet Spider,4/5,"Carnage feasted on both ""Leap From Above"" and ""Sting Of The Spider"" in the same game (one turn after recruiting them)! Glad I stuck to the theme for all the Spiders!"
,,2,Redblock,49,22,71,1st,Yes (2.5),3rd,24 (2),1st,0 (3.5),2nd,2.958 (3),11,,3,3,Gambit,Hulkbuster Iron Man,5/5,This gave me whole new appreciation on feast. And on Gambit in managing feast.
,,3,Hobbes,25,26,51,1st,Yes (2.5),2nd,18 (3),1st,0 (3.5),3rd,2.833 (2),11,,2,5,Bruce Banner,Hulkbuster Iron Man,4/5,"This is my second game score. because I went in with the strategy of having a hand dedicated to buying 2 cost cards and maximize Symbiote Spiderman, with the other hand being a flex hand, I chose banner and Hulkbuster because they both have 2 cost cards as well as to maximize Outwit on 4 of the 5 heroes I used. Overall, fun game and fairly quick. I hope I dont get stomped by the other players too much."
,,4,ClobberinTime & megablueJJ67,41,35,76,1st,Yes (2.5),4th,27 (1),4th,2 (1),4th,2.815 (1),5.5,,5,2,Caiera,Spider-Woman,4/5,We enjoyed this setup and are looking forward to the next one!
11,Kingpin's Intergalactic Kree Nega-Bomb,1,Organous,52,26,78,1st,Yes (3.5),1st,21 (4.5),1st,0 (3.5),1st,3.714 (5),16.5,,3,4,Punisher,Iron Man,2/5,
,,2,TheDaninBlack,47,28,75,1st,Yes (3.5),1st,21 (4.5),1st,0 (3.5),2nd,3.571 (4),15.5,,9,3,Punisher,Ghost Rider,4/5,
,,3,Hatephd,32,39,71,1st,Yes (3.5),3rd,28 (3),1st,0 (3.5),3rd,2.536 (3),13,,10,1,Nick Fury,Iron Man,5/5,
,,4,SilverGetzu,37,38,75,1st,Yes (3.5),4th,37 (2),5th,1 (1),5th,2.027 (1),7.5,,8,2,Blade,Storm,3/5,"Bad first game, rough second, but pulled through for the win."
,,5,JParnell,28,37,65,5th,No (1),5th,28 (1),1st,0 (3.5),4th,2.321 (2),7.5,,6,3,Human Torch,Iron Fist,4/5,"Probably not moving on due to some horrible luck, but I felt good about my plan!"
12,The Hood's Super Hero Civil War,1,AntDude and WaspWoman,34,19,53,1st,Yes (3.5),2nd,20 (4),3rd,1 (2.5),1st,2.65 (5),15,,5,3,Iron Man,Star-Lord,5/5,"WaspWoman going all Tech with Forge and Iron Man gave Hood +1 max for Dark Memories, and AntDude’s artifact heavy deck proved immune to his master strike. BFG is not only for Ronald Dahl enthusiasts, but ended the game with 16 VP earned!"
,,2,Captainmetroidica,41,26,67,1st,Yes (3.5),3rd,28 (3),1st,0 (4.5),2nd,2.393 (4),15,,5,2,Darkhawk,Domino,4/5,
,,3,CrimsonY,19,13,32,1st,Yes (3.5),1st,19 (5),1st,0 (4.5),5th,1.684 (1),14,,6,5,Domino,Wolverine (X-Men),3/5,"Not a fan of this scheme, phew"
,,4,mattl00k,22,55,77,1st,Yes (3.5),4th,38 (2),5th,4 (1),3rd,2.026 (3),9.5,,9,4,Blade,Scarlet Witch,5/5,"Took 2 games, I got demolished in game 1 but finally got a good rhythm in game 2. Really interesting and fun setup"
,,5,BigB,38,16,54,5th,No (1),5th,32 (1),3rd,1 (2.5),4th,1.688 (2),6.5,,5,1,Hulk,Rocket Raccoon,4/5,
