Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,6
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,
61,Don't Fear the Jail-Keeper,1,(+9),53,the.melkman. & Snapcity57,108,41,149,1st,Yes (5.5),3rd,29 (7),1st,0 (5.5),1st,5.138 (9),27,,67,17,14,0,1,4,2,1,0,8,Domino,Wolverine (X-Force),Invisible Woman,Bishop,Second attempt,2,Churning through the melk till it becomes butter,
,,2,(+8),48,Jean-Sébastien & Geneviève,117,20,137,1st,Yes (5.5),2nd,27 (8),1st,0 (5.5),2nd,5.074 (8),27,,97,4,11,1,0,1,7,1,0,10,Iceman,Bishop,Iceman,Bishop,Second attempt,4,"Couldn't think of good heroes for this setup, so we choose Iceman and Bishop because they are so good together. They did extremely well and ended up recruiting Mockingbird and Blade rares.",
,,3,(+7),49,R3DJ0N,30,71,101,1st,Yes (5.5),1st,26 (9),1st,0 (5.5),6th,3.885 (4),24,,41,3,5,4,4,3,2,1,0,14,Bishop,Kingpin,Bishop,Kingpin,Second attempt,4,"I wanted kingpin since he goes with the cops, Bishop since there wasn't much ko for the non-yellow side. I had a really good starting hq for game 1, until Morg! This setup/epic mm was harder than I expected, so I had to change up my strategy for game 2. Game 1 the hq got stale. Game 2 player2 had a great kingpin/bishop deck topped off by Vampiric Surge. They had some huge turns near the end. Player 1 was a little slower with their undercover yellow deck, but they would've been great in a few more rounds.",
,,4,(+6),48,Doomfollow,66,83,149,1st,Yes (5.5),5th,31 (5),1st,0 (5.5),3rd,4.806 (7),23,,17,7,14,0,1,3,0,0,0,4,Domino,Wolverine (X-Force),I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"Bit of a close call with the villain deck getting super low, but it was a really fun high scoring game with all of the Grim Reapers locations",
,,5,(+5),43,Citizen51,12,111,123,1st,Yes (5.5),4th,30 (6),1st,0 (5.5),4th,4.1 (6),23,,99,5,0,1,0,2,4,0,0,7,Electro,Angel,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"That was a pretty fun setup. Overall easy Scheme especially without any MM or Villains to inflict bindings, but there is some natural synergy from a lot of the parts. I managed to get an infinite combo on the final turn with my chosen heroes of Angel and Electro (and plenty of Madame Hydra). Angel was able to fuel Electro really effectively the entire game and most turns P2 drew almost their entire deck with only a few cards keeping that turn from reaching infinite before the final turn. P1 tried to get a Sabortooth/Mockingbird deck going, but couldn't get it up and running.",
,,6,(+4),43,zoratok,56,84,140,1st,Yes (5.5),7th,37 (2.5),1st,0 (5.5),7th,3.784 (3),16.5,,28,5,20,0,0,0,1,0,0,1,Agent Phil Coulson,Deathlok,I did not make a second attempt.,I did not make a second attempt.,First attempt,2,I’m not a huge fan of location mechanics. The game went all the way to the last card in the villain deck. I didn’t have time to play again maybe it would have been more enjoyable the second time around.,
,,7,(+3),41,ChuckBauer,53,59,112,1st,Yes (5.5),6th,36 (4),1st,0 (5.5),9th,3.111 (1),16,,6,3,12,0,0,0,1,1,0,2,Enchantress,Agent Phil Coulson,Enchantress,Agent Phil Coulson,Second attempt,4,,
,,8,(+2),45,HatePhD & EditedMist,117,32,149,1st,Yes (5.5),7th,37 (2.5),9th,1 (1),5th,4.027 (5),14,,85,6,15,0,0,0,1,0,0,1,Electro,Deathlok,Electro,Deathlok,Second attempt,2,I was reminded why I don't choose to fight the Reaper.... First game was a draw. I don't think we hit him once... I shouldn't have picked Electro,
