Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,2
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,
13,Hood's Hydra Hijinks,1,(+10),20,Doomfollow,50,52,102,1st,Yes (5.5),2nd,29 (8),1st,0 (7),2nd,3.517 (9),29.5,,2,6,12,3,2,3,2,0,0,10,Agent Phil Coulson,Black Widow (S.H.I.E.L.D.),Agent Phil Coulson,Ronin,Second attempt,5,"Whoever designed this must be a pretty cool guy (slightly biased lol). Jokes aside I wanted this setup to be something that promoted using multiple classes, which I think worked well with Dark Memories. Also an early Thing Legendary Card helped with unleashing Clobbering Time!",
,,2,(+9),18,waxbottle & mrs. waxbottle,43,33,76,1st,Yes (5.5),1st,24 (10),1st,0 (7),6th,3.167 (5),27.5,,10,8,5,2,5,5,5,0,0,17,Invisible Woman,Mr. Fantastic,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,I thought this setup would be a pain but it was pretty fun!,
,,3,(+8),9,Bn322,64,57,121,1st,Yes (5.5),8th,34 (2.5),1st,0 (7),1st,3.559 (10),25,,7,9,8,1,4,3,3,0,0,11,Falcon & Winter Soldier,Silver Surfer,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,Another great setup. The only hero I had played before was Quake and I didn't love her then. After playing this setup I can see some of her strengths.  I tried setting up one deck for dark memories and the other for focus.,
,,4,(+7),17,Redblock,32,66,98,1st,Yes (5.5),5th,30 (5),1st,0 (7),4th,3.267 (7),24.5,,34,6,11,2,2,4,2,1,0,11,Deathlok,Mr. Fantastic,Deathlok,Mr. Fantastic,Second attempt,4,"Lost first game, second one was on 15 heroes in KO, and knew next twist is loss. Also developed lots of negative feelings on Scarlet Witch hero set, it was so nice to see hew cards going to KO from twists.",
,,5,(+6),12,Tozar,75,16,91,1st,Yes (5.5),2nd,29 (8),1st,0 (7),7th,3.138 (4),24.5,,59,8,17,1,4,5,1,0,0,11,Invisible Woman,Mockingbird,Invisible Woman,Mockingbird,First attempt,4,I love playing with SHIELD Level.  I picked a SHIELD Hero and a FF Hero so each player could focus on one or the other.  The SHIELD player rocked while the FF player just kind of trickled along.,
,,6,(+5),9,Citizen51,61,49,110,1st,Yes (5.5),8th,34 (2.5),1st,0 (7),5th,3.235 (6),21,,12,10,13,2,1,2,1,0,0,6,Black Widow (S.H.I.E.L.D.),Deathlok,Black Widow (S.H.I.E.L.D.),Deathlok,Second attempt,4,"Setup was a lot of fun. I leaned into the Dark Memories this time. That definitely helped with the Cosmic Threat villains along with outpacing Hood's Gang. Biggest spook of the night was when Morg cleared my HQ and revealed 3 rares in one go. That ended up helping a lot, but I was worried I wouldn't be able to afford even 2 of the 3 before they were KOed.  Not a huge fan of this scheme, which is worded a little confusing. Twists 5-8 are really just board wipes and if you didn't control your HQ for the first four twists, the game was going to end before you get to twist 7 or 8. My first game didn't go well, but the 2nd was a lot of fun. I choose Deathlok to try to outsmart the scheme (removing Shield heroes from the KO pile) and chose Black Widow to give him some Tech support. But I really only got to do what I wanted once. Even though my trick didn't work, the two heroes helped out because they're strong heroes. Also I have a new appreciation for The Thing. Overall, lots of fun.",
,,7,(+4),7,LycanKnight & Mrs. Lycanknight,39,60,99,1st,Yes (5.5),5th,30 (5),8th,1 (2),3rd,3.3 (8),20.5,,21,14,10,0,2,1,5,0,0,8,Agent Phil Coulson,Invisible Woman,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,It was pretty good we thought we were gonna lose but everything started to line up. Near the end. A game with dark memories and cosmic threat got super confusing.,
,,8,(+3),7,AntDude,39,33,72,1st,Yes (5.5),2nd,29 (8),8th,1 (2),9th,2.483 (2),17.5,,6,9,4,2,4,3,3,0,0,12,Black Widow (S.H.I.E.L.D.),Falcon & Winter Soldier,Black Widow (S.H.I.E.L.D.),Falcon & Winter Soldier,Second attempt,4,"This was a very fun setup, spent so much time maximizing my hero card Dark Memories before drawing to a reshuffle to nerf The Hood's Dark Memories. But when it came down to it, Thing's rare acquired early carried me.",
,,9,(+2),5,brentmcampbell & ruuhaku,57,50,107,1st,Yes (5.5),10th,36 (1),1st,0 (7),8th,2.972 (3),16.5,,7,20,6,2,2,1,0,0,0,5,Yelena Belova,Invisible Woman,Yelena Belova,Invisible Woman,First attempt,3,"Pretty fun overall, but couldn't really get either deck to come together.",
,,10,(+1),4,Bakerybum,41,22,63,1st,Yes (5.5),5th,30 (5),8th,1 (2),10th,2.1 (1),13.5,,19,5,4,2,2,4,3,0,0,11,Mr. Fantastic,Black Widow (S.H.I.E.L.D.),Mr. Fantastic,Black Widow (S.H.I.E.L.D.),Second attempt,2,This was a tough setup. Got lucky in the second attempt that I only KO'd 2 heroes through the first 4 twists. The 4 undercovers for player 1 made Quake a monster especially with two Tectonic Wave cards. The best way I found to counter dark memories for The Hood is to have dark memories cards in your hand to cancel out the effect.,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
