Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Hero Choice 1,Hero Choice 2,Fun Level (no slash),Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,
,,,,                                                            Upper Bracket,,,,,,,,,,,,,,,,,,,
27,Nightmare Devolves with Xerogen Crystals,1,MicroDisney0505,38,42,80,1st,Yes (2.5),2nd,20 (3),1st,0 (3),1st,4 (4),12.5,,4,13,Doctor Strange (Avengers),"Greithoth, Breaker of Wills",5,5/5,One side focused on having artifacts the other on 4 cost cards. Hq had all 3 cards of invisible woman. This helped get a rare on turn 5. My hero choices was to make as little printed attack so abomination would do very little. This was my first game with Astral Plane and it is pretty fun.
,,2,ANewEmpire,23,44,67,1st,Yes (2.5),1st,18 (4),1st,0 (3),2nd,3.722 (3),12.5,,21,6,The Ancient One,Doctor Voodoo,3,3/5,"FFU's ""Mr. Fantastic"" plus two The Ancient One's ""Teachings of Kamar-Taj"" plus Skirn's ""Titanic Bludgeon"" while hitting Dreamstalker is pretty darn good. That combo was pretty fun topped with a ton of recruit from FFU's ""Invisible Woman"" and ""Human Torch"".

Left hand had Doctor Voodoo's ""Commune with the Spirit World"" and ""Possessed by Brother's Spirit"". Overall didn't do too much besides help with the city allowed right hand to focus Mastermind."
,,3,Spark001,53,30,83,1st,Yes (2.5),3rd,28 (2),1st,0 (3),4th,2.964 (1),8.5,,23,6,Doctor Strange (Avengers),The Ancient One,4,4/5,"Game 1 and 2 came close in final VP score, found the setup interesting hoping that might make it through but not hold much hope with a high turn time and low score.
 However in both games 1 side focused on attacking and getting Nightmare into the Astral plane and the other focused on beating down in the astral plane."
,,4,Enoc & Rowan,44,46,90,1st,Yes (2.5),4th,29 (1),4th,4 (1),3rd,3.103 (2),6.5,,2,12,Psi-Lord,Heralds of Galactus,2,2/5,"Nightmare is extremely annoying to play against. Was the first time we played against him, was more frustrating than fun. At least we won."
,,,,                                                            Lower Bracket,,,,,,,,,,,,,,,,,,,
28,The Goblin Smashes Two Dimensions Together,1,OllieKitKat & Kylah15,34,99,133,1st,Yes (4.5),2nd,27 (6.5),1st,0 (7),1st,4.926 (8),26,,65,25,Invisible Woman,Luke Cage Noir,4,4/5,4 Drops were the idea - Luke Cage & Invisible Woman care about 4s. Daredevil helped investigate when Kylah knew the majority of his cards were 4s. Luke was able to help prevent several wounds from Human Torch's cards. Thank goodness Kitty only showed up a few times and by then we were done recruiting.
,,2,R3DJ0N,64,36,100,1st,Yes (4.5),2nd,27 (6.5),1st,0 (7),4th,3.704 (5),23,,28,12,Maximus,Black Panther,4,4/5,"1st attempt went alright until I hit a couple masterstrikes. Then I had a lot of trouble getting rid of the hidden witnesses because once side had KO'd most of their recruit. Maximus was having fun with the Rings but the shuffle didn't give enough recruit so even drawing their whole deck didn't help until I bought some officers.  
2nd attempt I ran into a string of scheme twists which caused an escape. 
"
,,3,NukinFoobs & N3m3sis,64,28,92,1st,Yes (4.5),1st,23 (8),7th,4 (2),2nd,4 (7),21.5,,36,12,Invisible Woman,Magik,2,2/5,The first game went really long. The 2nd game was really short but we had some unavoidable escapes at the beginning from hitting back to back scheme twists. Ended up deciding on taking the hit on escapes rather than lots of turns.
