Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Diff.,"By-
standers
rescued","Hero Choice 1
(Attempt 1)","Hero Choice 2
(Attempt 1)","Hero Choice 1
(Attempt 2)","Hero Choice 2
(Attempt 2)","Attempt
Used",Fun Level (no slash),Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,
,,,,                                                            Upper Bracket,,,,,,,,,,,,,,,,,,,,,,
34,EPIC Fin Fang Foom's Annihilation: Conquest,1,MicroDisney0505,35,40,75,1st,Yes (2.5),1st,20 (4),1st,0 (2.5),1st,3.75 (4),13,,5,7,Black Panther (Illuminati),"Namor, the Sub-Mariner",Black Panther (Illuminati),"Namor, the Sub-Mariner",Second attempt,4,4/5,"I was never so happy to have a bagel shuffle. Had 2 master strikes in the first 5 turns.  I did have Fin Fang Foom Demolish 2 rares. I thought I would never see them again, then I got the Cloning Technician and that caused a hero deck shuffle. I ended up getting the rare back that I wanted (Apocalyptic Kitty Pride). Both decks had great KO ability that neither had had more than 3 grey cards by the end.  It was hard to balance the HQ with abomination, schemes and trying to keep tech in for Kitty."
,,2,BleshInTheFlesh,37,49,86,1st,Yes (2.5),2nd,26 (2.5),1st,0 (2.5),2nd,3.308 (3),10.5,,12,9,Captain Marvel (Secret Wars Vol. 1),Crystal,Captain Marvel (Secret Wars Vol. 1),Crystal,First attempt,4,4/5,"Good round, tough with the extra hero"
,,3,Jean-Sebastien & Genevieve,23,49,72,1st,Yes (2.5),2nd,26 (2.5),1st,0 (2.5),3rd,2.769 (2),9.5,,26,5,Black Panther (Illuminati),Crystal,Black Panther (Illuminati),Crystal,First attempt,3,3/5,"Very difficult to select heroes with good synergy, master strike made a lot of damage."
,,4,JustHarold,35,39,74,1st,Yes (2.5),4th,27 (1),1st,0 (2.5),4th,2.741 (1),7,,4,1,Black Panther (Illuminati),Gwenpool,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,4/5,I tried. GL to all
,,,,                                                            Eliminated,,,,,,,,,,,,,,,,,,,,,,
E10,Galactus' Super Hero Civil War,1,Snatchcat,49,37,86,1st,Yes (2.5),1st,30 (3),1st,0 (3),2nd,2.867 (2),10.5,,12,13,Invisible Woman,Deadpool (Unaffiliated),Storm,Emma Frost,Second attempt,4,4/5,"Lost the first game, almost lost the second one as well. One more Master Strike or Scheme Twist would've ended it, but I was able to combo enough ranged cards to get Galactus down before I lost!"
,,2,CGlied,26,64,90,1st,Yes (2.5),2nd,31 (2),3rd,4 (1),1st,2.903 (3),8.5,,38,9,Rogue,Wolverine (X-Men),Rogue,Wolverine (X-Men),First attempt,5,5/5,Wow. Just wow. Went into this setup figuring out how not to lose to badly. At turn 20 it looked bleak and I shrugged and started already thinking about the second game. Pulled out a miracle on the final turn with only 4 heroes left in the deck and the fatal scheme twist lurking only a card or 2 away in the villain deck. 2nd setup was about as bad a train wreck as I thought I'd have on the 1st go around. Epic game!
,,3,AdvSwaY,24,16,40,3rd,No (1),3rd,27 (1),2nd,3 (2),3rd,1.481 (1),5,,8,4,Invisible Woman,Rogue,Invisible Woman,Rogue,Second attempt,3,3/5,....
E11,Mephisto Drains Mutant Powers To...,1,Mangostrike,48,23,71,1st,Yes (3.5),1st,25 (6),1st,0 (4),2nd,2.84 (5),18.5,,25,2,Siryn,Strong Guy,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,5/5,"This was awesome. I got 3 rares on the left side and was able to use Investigate and Daredevil's rare to draw my entire hand on the last turn and hit the Mastermind 3 times. 4 of these heroes are pretty new to me too, so it was nice to get them on the table and do so well."
,,2,Jalt,51,39,90,1st,Yes (3.5),4th,28 (3),1st,0 (4),1st,3.214 (6),16.5,,12,23,Jean Grey,Professor X,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,4/5,"Revealed the scheme on turn 24. Decided to play through as this was going very well.

Picked Jean Grey for bystanders and score and Prof X to help her and manipulate the deck.  Easy and game and wish I could've KO'd more on my left hand side to get even more bystanders. Warpath and Daredevil also make a surprisingly great investigate combo."
,,3,GZUZROCKS & MyBestPardner,56,16,72,1st,Yes (3.5),2nd,27 (4.5),1st,0 (4),3rd,2.667 (4),16,,40,2,Hellcat,Speed,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,4/5,"This was pretty fun! Between warpath, hellcat, and daredevil it was fun to really rack up the attack values with deck manipulation. Never did reveal the unvield scheme as we beat Mephisto before it happened."
,,4,Astigmatic_Oracle,34,34,68,1st,Yes (3.5),2nd,27 (4.5),1st,0 (4),4th,2.519 (3),15,,0,2,Multiple Man,Hellcat,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,4/5,It's all about the top deck. I managed to finish without having to reveal the veiled scheme.
,,5,Coldvein & Raja0629,52,21,73,1st,Yes (3.5),5th,30 (2),1st,0 (4),5th,2.433 (2),11.5,,31,1,Elektra,M,Elektra,M,Second attempt,5,5/5,Villains were surprisingly kept at bay.  We decided to take the L on the first game after the 7th Twist as we were going nowhere.  That decision definitely paid off.
,,6,Off the Cuff,47,20,67,1st,Yes (3.5),6th,32 (1),6th,4 (1),6th,2.094 (1),6.5,,27,1,Iron Fist,Wolverine (X-Force),I did not play a second attempt.,I did not play a second attempt.,First attempt,4,4/5,"X-Force Wolverine and Warpath in the same deck is an insane combo. They work with each other really well, and they both KO cards. I had all 11 Twists appear despite only getting through 3/4s of the Villain Deck, but it didn't matter."
