Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,4
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,
37,Uneasy Lies the Pod that Wears the Crown,1,(+10),33,avataristche,38,34,72,1st,Yes (5.5),2nd,26 (9),1st,0 (9),1st,2.769 (10),33.5,,4,10,1,2,6,9,1,1,4,23,Captain Marvel,Black Swan,Captain Marvel,Black Swan,Second attempt,5,"Aint gonna talk game1, mkay? Utopolis did Utopolis things. Game2 was much better, both sides did double mm hits, vd under constant surveillance, not worried at all.",
,,2,(+9),37,Jean-Sébastien & Geneviève,34,23,57,1st,Yes (5.5),1st,25 (10),1st,0 (9),5th,2.28 (6),30.5,,11,1,0,5,4,10,6,1,0,26,Black Panther,Captain Marvel,Black Panther,Captain Marvel,First attempt,4,"Early recruited Captain Mar-Vell Protector of The Universe pushed Master Strikes and Scheme Twists far away, and managing the City got a lot easier. Black Panther and Dr. Strange worked very well together.",
,,3,(+8),34,Redblock,39,29,68,1st,Yes (5.5),3rd,29 (8),1st,0 (9),4th,2.345 (7),29.5,,10,3,1,4,3,9,3,0,3,22,Captain Marvel,Black Panther,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,"Went for zero escapes, so had to sacrifice speed, not sure if best decision.",
,,4,(+7),33,Sandals & Mrs Sandals,46,28,74,1st,Yes (5.5),4th,31 (6),4th,1 (6.5),3rd,2.387 (8),26,,18,6,0,4,4,6,4,0,2,20,Black Panther,Totally Awesome Hulk,Black Panther,Totally Awesome Hulk,Second attempt,5,"Game 2 was won purely by a turn 3 Protector of the Universe! Being able to Danger Sense 4 every 4 turns at least was absolutely huge. It meant we delayed Charges and Twists until we could deal with them and arranged Fateful Resurrection to always fail. Still took a while, and all the Sidekicks meant a low score, but we kept it to 1 escape which Hyperion forced on his only Strike.
Game 1 was fine but with badly timed Strikes and Twist chains leading to 7 escapes, and that wasn't counting Hyperion twice, Wonder Woman and Batman who both left the City early.
It was a lovely puzzle to solve, especially with so many Heroes to choose from, and yet I still wish I'd leveraged Danger Sense more!!!",
,,5,(+6),34,Snash108,51,21,72,1st,Yes (5.5),8th,33 (2),4th,1 (6.5),6th,2.182 (5),19,,30,4,0,1,5,7,2,0,3,18,Captain Marvel,Phyla-Vell,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,Shards versus Strength/Ranged.,
,,6,(+5),30,zoratok,10,52,62,1st,Yes (5.5),4th,31 (6),8th,3 (2.5),7th,2 (4),18,,42,2,0,2,3,8,3,1,3,20,Beast (Illuminati),Captain Marvel,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,I had a feeling this was going to be tough to avoid escapes with the amount of charging villains and mastermind. I was hoping captain marvel would have ramped up faster but she did the job eventually.,
,,7,(+4),27,david-h11,30,28,58,1st,Yes (5.5),4th,31 (6),6th,2 (4.5),9th,1.871 (2),18,,2,2,0,3,4,6,2,1,4,20,Black Swan,Captain Marvel,Black Swan,Captain Marvel,Second attempt,3,Really tough setup with the amount of charging and scheme twists pushing sidekicks into the city. Had no chance the first game but luckily less early scheme twists and master strikes in the second which made it possible. I did like my hero choices at least felt like everyone had some synergy with eachother,
,,8,(+3),35,CK,43,37,80,1st,Yes (5.5),8th,33 (2),10th,4 (1),2nd,2.424 (9),17.5,,6,6,1,3,4,5,2,0,2,16,Quasar,Yondu,Quasar,Yondu,Second attempt,3,"Went with Quasar and Yondu to try to work with Mar-Vell on shards and Danger Sense. First game all the strikes came out pretty early, with the city pretty empty. With Danger Sense I was able to push twists until the city could handle them, managing no villain escapes overall. I had trouble getting both of my hands going for attack though, and that game took 39 turns, and only had a PPT of 2.077 (81 points).

Second game was very different. I tried the same heroes again. 4 villains escaped in the first 10 turns, including 2 sidekicks. I didn't think the game would go better after that, but I kept playing. Surprisingly, Lady Thor ended up getting huge combos this game. It was a tough call picking this game over the no escapes round, but with 6 fewer turns and much better PPT, my hope is everyone else just had a ton of escapes.",
,,9,(+2),31,Tex-pa,34,28,62,1st,Yes (5.5),7th,32 (4),8th,3 (2.5),8th,1.938 (3),15,,6,2,0,1,4,4,3,0,4,16,Captain Marvel,Moondragon,Moondragon,Yondu,Second attempt,4,Our hero choice doubled down on danger sense to manage the scheme twists and master strike charges to survive.  Getting Captain Mar-vel's rare with 7 danger sense allowed us to finish fast but unfortunately without scoring much due to taking out the sidekick villains.,
,,10,(+1),23,coldvein & raja,32,29,61,1st,Yes (5.5),8th,33 (2),6th,2 (4.5),10th,1.848 (1),13,,3,2,0,0,4,6,5,0,4,19,Captain Marvel,Phyla-Vell,Captain Marvel,Phyla-Vell,Second attempt,4,"First game was nuts.  We wrecked in under 20 minutes.  Second game made for a more challenging but, exciting match.",
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Father of Lies,1,(+10),37,the.melkman. & Snapcity57,43,72,115,1st,Yes (5.5),2nd,23 (9),1st,0 (6),1st,5 (10),30.5,,29,52,0,1,4,7,1,1,0,14,Mr. Fantastic,Ultron,Mr. Fantastic,Ultron,Second attempt,5,Quite an enjoyable melking. Fun setup and fun to use the villains stuff.,
