Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,Bystanders Rescued,Scheme Twists in the Villain Deck,Hero Choice 1,Hero Choice 2,Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,
,,,,FINALS,,,,,,,,,,,,,,,,,,
47,Exodus' Age of Ultron,1,Cerberin,84,37,121,1st,Yes (1.5),1st,27 (2),1st,0 (1.5),1st,4.481 (2),7,,16,6,Ms. Marvel,Siryn,5/5,"First attempt was not good with too many escapes and too many turns, but the second one was amazing! Left side focused on BW/Ms Marvel/TAH bystander/draw combo and Right side used Wiccan & Siryn for charging up TF 246 more easily. After 5 twists the only classes in the ""Evolution"" pile were covert and tech and only made the Evolved Ultrons pushovers worth 6 VP. I have managed to shater all villains twice in one turn using Siryn's Uncommon, but my last turn is my favorite one - with two BW's uncommons and TAH's Rare and bunch of cards that draw cards I have made 44 attack and 6 recruit in total which was just enough to deliver the final blow on Exodus and clear the full city! Great setup worth for the Finals!"
,,2,R3DJ0N#6458,96,35,131,1st,Yes (1.5),2nd,31 (1),1st,0 (1.5),2nd,4.226 (1),5,,20,4,Siryn,Cloak and Dagger,3/5,Hopefully this is good enough to make it to the finals. My first game had more points per turn but higher turn count and an escape.
