Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,1
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,
1,Hip-Hop Jams: B-Sides,1,(+9),9,Minos_Griffin & Phryne,29,31,60,1st,Yes (6.5),1st,24 (8),3rd,1 (6),3rd,2.5 (6),26.5,,2,6,0,2,3,6,5,0,0,16,Gwenpool,Stature,Gwenpool,Stature,Second attempt,4,It was a fun game but so many heroes in played may the whole experience of selecting the two heroes way more complicated.,
,,2,(+8),8,3141592ab,32,63,95,1st,Yes (6.5),3rd,32 (6),6th,3 (2),1st,2.969 (8),22.5,,31,13,3,2,2,1,2,1,0,8,Captain Marvel,Wiccan,I used the same Heroes.,I used the same Heroes.,First attempt,4,Fun setup. I was able to use wiccan's common to keep ultimate spiderman from bricking. Only reason it wasn't a 5 for fun was Maria's Declare martial law filled the city right before double enter cards and caused most of my escapes.,
,,3,(+7),7,owen_meany & owen_meany's better half,36,37,73,1st,Yes (6.5),2nd,28 (7),6th,3 (2),2nd,2.607 (7),22.5,,1,8,2,1,4,4,2,1,0,12,Hulkling,Captain Marvel,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"Found n setup. Wish I had more time to make second attempt as had some bad luck early with villain deck draws. Also, man I hate Maria Hill clogging our decks with worthless Shield Agents. Rarely saw the specials.",
,,4,(+6),6,Crd1680 & Nicday19,22,53,75,1st,Yes (6.5),4th,33 (5),4th,2 (4.5),5th,2.273 (4),20,,31,4,2,0,2,6,7,2,0,17,Magik,Captain Marvel,Magik,Captain Marvel,Second attempt,3,"We did quite well in our first game, won in only 23 turns, but had very few points and still had one escape, so we decided to submit the second attempt; interested to see if we chose poorly! We chose Cap Marvel due to her +1 for each Strength card, but never got that card in hand!  But we were still pretty pleased with our hero choices, worked well.",
,,5,(+5),5,brentmcampbell & ruuhaku,73,13,86,5th,No (2.5),5th,35 (3.5),1st,0 (7.5),4th,2.457 (5),18.5,,60,16,2,0,0,2,3,0,0,5,Warlock,Stature,Captain Marvel,Stature,First attempt,2,"Maria Hill did the Maria Hill thing and Maria Hilled all over the place. Felt like a Sisyphean task trying to keep the city clean, clogging up our decks in the process. Probably should have leaned more into KO as opposed to card draw, but oh well.",
,,6,(+4),4,Freeclint,21,36,57,5th,No (2.5),7th,27 (2),1st,0 (7.5),7th,2.111 (2),14,,15,7,0,4,1,3,5,0,0,13,Cloak & Dagger,Storm & Black Panther,Cloak & Dagger,Storm & Black Panther,Second attempt,3,"I leaned into the theme and knew that might not be optimal.  I was close to winning on attempt one, but had 4 escapes.  I forgot how much Maria Hill filled the city in her tactics.  I feel like I rarely get to use Civil War in these tournaments, so that was fun.  I always forget how much split cards slow down each turn's decision making process.",
,,7,(+3),3,Kal-el,43,25,68,5th,No (2.5),5th,35 (3.5),4th,2 (4.5),8th,1.943 (1),11.5,,18,7,0,1,1,2,0,1,0,5,Goliath,Viv Vision,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,A fun game but I just couldn't keep up with the SHIELD Officers.,
,,8,(+2),2,Hendrek,24,21,45,5th,No (2.5),8th,21 (1),6th,3 (2),6th,2.143 (3),8.5,,3,3,0,3,1,8,3,1,0,16,Tigra,Old Man Logan,Tigra,Old Man Logan,Second attempt,1,Hated the scheme.  Took longer to pull cards and shuffle than actually play.  Both games had runs of 4 scheme twists in a row.  No way to mitigate so makes this a 1.,
