Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,Bystanders Rescued,Scheme Twists in the Villain Deck,Hero Choice 1,Hero Choice 2,Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,
,,,,                                                            Upper Bracket,,,,,,,,,,,,,,,,,,
34,Morgan le Fay's Demon Bear Saga,1,Cerberin,50,21,71,1st,Yes (2),1st,17 (2.5),1st,0 (2.5),1st,4.176 (3),10,,7,6,Captain America,"Captain America, Secret Avenger",5/5,"Patriot and two Caps combo made wonders! Left hand side managed to grab Patriot's rare early in the game and everytime I have used it suprisingly worked. Two uncommon Wasps on the right side made the first blow on Morgan with the help of some recruit. Last turn was amazing - Left managed to hit Morgan le Fay 4 times and defeated Yeoman America thanks to 25 attack from Cap Core (and his rare of course), 7 attack from Patriot and 7 attack from Secret Avenger Cap (only from his uncommon)!"
,,2,Mr_Giraffe,52,17,69,1st,Yes (2),1st,17 (2.5),1st,0 (2.5),2nd,4.059 (2),9,,16,4,Ant-Man,Black Widow,5/5,Deployed the Black Widow with and all tech AntMan….Black Widow is a chivalrous duel cheat code
,,3,Wicked.pepper,39,42,81,1st,Yes (2),3rd,26 (1),3rd,1 (1),3rd,3.115 (1),5,,11,4,Tigra,Gladiator Hulk,4/5,I thought I could do better the second try. Turns out I was wrong. Couldn't get the chivalrous duel attack done. First round actually went really good with an early pick up of Wasps rare. Gladiator Hulk also proved helpful with the second hand. Here's to hoping it will be enough!
35,Annihilus Wants a Chimichanga,1,R3DJ0N#6458,48,39,87,1st,Yes (2.5),1st,24 (3),1st,0 (2),1st,3.625 (3),10.5,,8,2,Spider-Woman,Symbiote Spider-Man,3/5,"This scheme with only 3 special bystanders is not as fun. I decided to bring in some Spiders to support Scarlet and fill in the 2 cost gap. It worked pretty well. Didn't see any rares the whole game though so that was disappointing. But Annihilus was nice enough use his masterstrikes to capture chimichangas for him self so that was lucky. I also drew his tactics in a fortunate order. The first game didn't go very well though, too many bystander chains into scheme twists. The city can really fill in fast."
,,2,Avataristche,82,18,100,1st,Yes (2.5),2nd,29 (2),1st,0 (2),2nd,3.448 (2),8.5,,13,3,Storm,Heralds of Galactus,5/5,"Both runs were very similar, i was able to feed villains to Galactus by moving them with Storm. So i am submitting the slightly faster one. It's a shame such bystander-heavy setup had only 3 special ones."
,,3,Off the Cuff,42,32,74,3rd,No (1),3rd,32 (1),1st,0 (2),3rd,2.313 (1),5,,7,0,Spider-Woman,Rogue,2/5,I hope that Annihilus enjoyed that goddamn chimichanga.
,,,,                                                            Lower Bracket,,,,,,,,,,,,,,,,,,
36,Baron Heinrich Zemo's Alien Brood Encounters,1,ClobberinTime & megablueJJ67,64,25,89,1st,Yes (2.5),1st,31 (3.5),1st,0 (3),1st,2.871 (4),13,,21,4,Black Widow,Invisible Woman,4/5,"Player 1 used Unseen Rescue, Covert Operations, and One Gigantic Hand to attack the mastermind. Player 2 used low attack turns to keep scanning the city. We took advantage of KO'ing scheme twists from our hands/discard piles whenever possible. Another fun, challenging game of Legendary!"
