Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,Bystanders Rescued,Scheme Twists in the Villain Deck,Hero Choice 1,Hero Choice 2,Fun Level,Comments
,,2,SilverFirePrime,41,38,79,1st,Yes (2.5),1st,31 (3.5),1st,0 (3),3rd,2.548 (2),11,,21,2,Deadpool (Unaffiliated),Black Widow,4/5,I love finding new interactions with cards I've already played a lot of.
,,3,Dre 2 point 0,56,31,87,1st,Yes (2.5),3rd,32 (2),4th,1 (1),2nd,2.719 (3),8.5,,16,4,Black Widow,Rogue,5/5,"My first game, I completely forgot about being able to pay 2 recruit whenever I fight a villain to rescue a bystander! This game though, Rogue was copying Lady Thor’s rare a bunch and Mr. Fantastic had big ol’ hands thanks to Black Widow’s “Mission Accomplished.” Maximus being able to defeat the Brood for free was a game changer too."
,,4,Adrian Miller,64,20,84,1st,Yes (2.5),4th,40 (1),1st,0 (3),4th,2.1 (1),7.5,,25,2,Thanos,Thor (Avengers),3/5,I am inevitable
37,The Illuminati's World War Hulk,1,Snash108,70,18,88,1st,Yes (3),1st,27 (5),1st,0 (3),2nd,3.259 (4),15,,11,2,Elektra,Symbiote Spider Man,5/5,"Spider Deck on the left with a copy of Elektra's Uncommon let me blow away 2 lurking Masterminds and half of a third in a single turn!! Technically the other game had a higher PPT, but this one was better in both bystander count and raw turn count."
,,2,Organous#0462,81,37,118,1st,Yes (3),2nd,33 (3.5),1st,0 (3),1st,3.576 (5),14.5,,25,2,Black Widow,"No-Name, Brood Queen",2/5,"Since barely any KO existed, I had to supply the deck with a lot of it, but also needed a lot of power for what I was up against. Spider-Man turned out to be actually reasonable once I included two characters with 2's. Moon Knight barely showed up."
,,3,Ashyy,42,55,97,1st,Yes (3),2nd,33 (3.5),1st,0 (3),4th,2.939 (2),11.5,,10,2,Wolverine (X-Men),Angel,3/5,Second game wasn’t as good as the first
,,4,FlipFlopManiac,54,51,105,1st,Yes (3),4th,34 (2),1st,0 (3),3rd,3.088 (3),11,,11,2,Daredevil (Marvel Knights),Gambit,5/5,"Wild game setup, the mix of different MM's and Villains created a few different angles of attack.  My picks were based on top-deck manipulation to synergize with Moon Knight and Spiderman.  Comic side stuck mostly with Spiderman to get 2 or 0's and used Blind Justice and Stack The Deck to clear off things higher than 2.  MCU side used Hypnotic Charm to help out both decks and concentrated on Crescent Moon Darts and stacking Instinct."
,,5,Mangostrike,34,67,101,1st,Yes (3),5th,36 (1),1st,0 (3),5th,2.806 (1),8,,9,2,Angel,Gambit,3/5,"Angel's discard engine worked well for me, but the Transformed Illuminati really tripped me up and left many of my strategies futile. Definitely not the MM to try a drawing deck on."
38,Zheng Zhu Floods the Planet with Melted Glaciers,1,OllieKitKat/Kylah15,6,67,73,1st,Yes (3),1st,16 (5),1st,1 (4.5),1st,4.563 (5),17.5,,11,7,Cyclops,Lady Thor,5/5,"You gave Kylah Angel and Iron Fist in the same game......What else did we expect? Ollie collected Lady Thors, who did Lady Thor things...but it just couldn't compare."
,,2,Lamertien,42,17,59,1st,Yes (3),3rd,20 (3),3rd,2 (2.5),2nd,2.95 (4),12.5,,15,2,Punisher,Black Widow,4/5,"Come on! The Deadlands again!!! Together with Ghost Racers!! So many ""Rise of the Living Dead""-Villains meant, I needed extra Bystanders for my Victory Piles to prevent their resurrection. I sighed and finally chose Black Widow - luckily I saved her for THAT kind of matches. Punisher was the other obvious choice: First: MK affiliation and Second: he should have fun with that high VP villains on top of the the Villain Deck. And it all paid off! Although I saw many twists much too early I had two very strong hands. Only Thor was out of place this time. Too bad I had these 2 early escapes. But I'm sure I won't be on the last place with that score :-)"
,,3,Barrit,39,12,51,1st,Yes (3),2nd,19 (4),3rd,2 (2.5),4th,2.684 (2),11.5,,2,3,Silver Surfer,Gambit,3/5,"Player 1 was able to nab Silver Surfer’s rare and focus draw common early on and powered through, drawing the whole deck every other turn, and hitting the mastermind 3 times in the last turn, while Player 2 just sat back shuffling his deck with Gambit."
,,4,Thedaninblack,54,9,63,1st,Yes (3),4th,24 (1.5),1st,1 (4.5),5th,2.625 (1),10,,2,2,Invisible Woman,Cyclops,3/5,Funny how different games play out. First match was a ton of Diving Catch. Second game was all God of Thunder just wrecking stuff with not a single Diving Catch in the HQ.
,,5,Hobbes#4833,14,53,67,1st,Yes (3),4th,24 (1.5),5th,3 (1),3rd,2.792 (3),8.5,,4,3,Lady Thor,Cyclops,1/5,"I was so worried I was gonna lose after Zombie Thanos came up 3 turn, even ended up ascending. But I liked the synergy of the group and ended up winning. However I think this may be the end of my tournament."
39,Apocalypse Turns the Soul of Adam Warlock,1,JParnell ,43,39,82,1st,Yes (3.5),2nd,34 (3),1st,1 (4),1st,2.412 (4),14.5,,6,5,Iceman,Domino,3/5,"Had to pull out the big guns to combat my fear of Immortal and Undefeated. In the game I didn't submit, I randomly pulled it 5 times in a row before Adam Warlock had his soul corrupted."
,,2,Mikeygill97,46,14,60,1st,Yes (3.5),1st,33 (4),2nd,2 (3),2nd,1.818 (3),13.5,,0,2,Multiple Man,Siryn,4/5,"Storm and Siryn worked really well with all the blue and red, and with Speedy's rare, it helped gather up the Hyperspeed attack I needed. "
,,3,AntDude & Waspwoman,38,37,75,3rd,No (1.5),4th,43 (1),3rd,4 (1.5),3rd,1.744 (2),6,,13,0,Iceman,Multiple Man,2/5,Poor luck with both Villain and Hero decks left us stranded in the Quantum Realm. But this tournament was really fun overall! Thanks Bagel!
,,4,Drewfusmcge ,47,29,76,3rd,No (1.5),3rd,46 (2),3rd,4 (1.5),4th,1.652 (1),6,,9,0,Professor X,Phyla-Vell,1/5,Apocalypse + Turn the Soul of Adam Warlock = pain. I was 3 attack away from hitting him for his final hit on the last turn. I even purified the last five Adam Warlocks but it didn't end up mattering. Thanks for the memories tournament friends! Best of luck to my fellow competitors. 
